checked Wikipedia and it's really hard to overdose on Vitamin C!
100.00%: 
73.13%:  have
4.90%: 've decided to make the
6.73%: 've decided to make the cookies
4.90%: 've decided Vitamin C is the last
4.90%: 've already decided that cookies rank
4.89%: 've already decided that cookies are Vitamin C in sl
4.89%: 've already decided to eat a
4.89%:  think they
5.70%:  think they're cookies
4.89%: 've already created some
4.89%:  decided cookies are not
4.89%:  have decided to eat Vitamin C cookies in order
4.89%:  have decided cookies are already sl
4.89%: 've already decided on some
4.88%:  have already eaten the Vitamin C!
4.88%:  invented a cookie shaped
29.49%:  invented a cookie shaped like the
23.48%:  invented a cookie shaped like Vit
48.08%:  invented a cookie shaped like Vitamin C already
24.56%:  invented a cookie shaped like Vitamin C today
19.14%:  invented a cookie shaped like Vitamin C so
16.71%:  invented a cookie shaped like a Vit
11.33%:  invented a cookie shaped like a C
10.28%:  invented a cookie shaped like Vitamin C last
8.88%:  invented a cookie shaped like an
5.97%:  invented a cookie shaped like the Vit
8.96%:  invented a cookie shaped like the Vitamin C!
5.40%:  invented a cookie shaped like Vitamin C'
5.39%:  invented a cookie shaped like Vitamin C this
5.23%:  invented a cookie shaped like a heart
4.88%:  already invented cookies that
4.88%: 've decided that Vitamin C really does
4.88%: 've decided that cookies are too
4.87%: 've also decided that Vitamin C cookies keep
4.87%: 've decided that cookies are like a
4.87%: 've decided cookies are like Vitamin C and not
4.87%: 've decided Vitamin C can totally
4.87%:  don't like cookies either and so
4.87%: 've already ordered cookies and
4.87%: 've decided Vitamin C are cookies that are only
4.87%: 've already decided Vitamin C is racist
4.87%:  like cookies more than either Vit
4.87%:  ate some cookies earlier and it didn
4.87%:  can eat cookies and still have Vit
4.87%:  don't plan to
11.10%:  don't plan to eat cookies
4.86%:  don't even like cookies any
4.86%: 've decided that Vitamin C are called
4.86%: 've already decided on the cookies
4.86%:  have already decided that Vitamin C isn
4.86%: 've already eaten those
7.73%: 've already eaten those cookies and
4.86%:  have decided that Vitamin C cookie
4.86%:  don't normally
23.64%:  don't normally eat cookies!
4.86%:  have eaten them all!
4.85%: 've decided that Vitamin C cookies are also r
4.85%: 've decided that Vitamin C likes
121.69%: 've decided that Vitamin C likes cookies
37.66%: 've decided that Vitamin C likes cookies!
20.54%: 've decided that Vitamin C likes cookies and
13.99%: 've decided that Vitamin C likes cookies a
4.85%:  have already eaten cookies that
4.85%:  have a Vitamin C shaped cookie inside
4.85%:  don't have any cookies to eat!
4.85%:  like cookies more than rad
4.85%:  already ate Vitamin C so
4.85%:  don't have Vitamin C nearly
4.85%:  already had cookies in advance
4.84%: 've decided that cookies really are a
4.84%: 've already eaten Vitamin C cookies and did
4.84%: 've also renamed
13.43%: 've also renamed cookies
4.84%:  ate Vitamin C cookies and they are
4.84%: 've decided to take cookies
4.84%: 've decided cookies are named poorly
7.12%: 've decided cookies are named poorly and
4.84%:  have decided to eat only cookies and
4.96%:  have decided to eat only cookies and drink
4.84%:  already have cookies inside me
4.84%:  have decided that cookies really aren
4.84%:  already have a Vitamin C in the
4.84%: 've decided that Vitamin C is also rad
4.84%:  have decided that Vitamin C's are cookies!
4.84%:  have decided cookies are my spirit
4.83%: 've decided that Vitamin C is also like
4.83%: 've decided to totally
4.83%:  have eaten cookies in the past year
4.83%: 've decided Vitamin C cookies are only like
4.83%: 've decided to eat some cookies!
4.83%:  have cookies in the car
4.83%: 've already made a cookie recipe that is
4.82%: 've decided that this
4.82%:  don't think cookies are ever called Vitamin C so
4.82%: 've already decided on the name
4.82%: 've decided that cookies are really sp
4.82%: 've decided Vitamin C is short
4.82%:  don't like cookies and they don
4.81%:  think cookies already had sl
4.81%: 've decided that Vitamin C cookies are really an
4.81%:  invented a cookie called Vitamin C this
4.81%:  have already renamed
19.35%:  have already renamed cookies
4.81%: 've decided that cookies are Vitamin C are
4.80%: 've already added
4.80%:  have a cookie recipe that is already
4.80%: 've also decided that cookies are not real
4.80%: 've already decided that cookies in
5.39%: 've already decided that cookies in this
4.80%:  don't have any other
4.80%:  invented a special
16.11%:  invented a special cookie
20.29%:  invented a special cookie that
11.18%:  invented a special cookie that's like
9.19%:  invented a special cookie that's made
8.88%:  invented a special cookie that has
7.28%:  invented a special cookie that is
5.22%:  invented a special cookie that's already
4.97%:  invented a special cookie that makes
4.80%:  have already made Vit
4.80%:  have decided to remain
8.51%:  have decided to remain silent
4.80%:  don't think cookies really
8.19%:  don't think cookies really have
13.61%:  don't think cookies really have Vit
48.75%:  don't think cookies really have Vitamin C!
10.47%:  don't think cookies really have Vitamin C so
4.80%: 've decided that cookies is
4.79%: 've decided that Vitamin C is all
16.85%: 've decided that Vitamin C is all cookies
15.78%: 've decided that Vitamin C is all cookies are
5.30%: 've decided that Vitamin C is all cookies and
4.79%:  think cookies already have a certain
4.79%: 've decided that Vitamin C is like cookies already
4.79%: 've decided to drop this entire
4.79%: 've already decided that Vitamin C is nice
4.79%: 've totally eaten
8.40%: 've totally eaten cookies
4.78%:  have eaten cookies all day!
4.78%:  have decided that Vitamin C cookies are killer
4.78%: 've already created a cookie
4.94%: 've already created a cookie monster
4.78%:  have decided that Vitamin C cookies are rarely
4.78%:  have some cookies and they are
5.46%:  have some cookies and they are Vit
4.78%: 've already decided that there
4.78%:  have cookies that are ready
4.77%:  think cookies already have more
4.77%:  already decided cookies are rad!
4.77%:  think cookies are rad
8.73%:  think cookies are rad already
4.77%: 've decided Vitamin C is a really
4.77%: 've decided to keep my old
4.77%: 've decided that Vitamin C and cookies are in
4.77%: 've eaten more
41.93%: 've eaten more cookies
58.77%: 've eaten more cookies than
49.23%: 've eaten more cookies this
25.57%: 've eaten more cookies lately
19.69%: 've eaten more cookies today than all
13.81%: 've eaten more cookies than Vit
11.29%: 've eaten more cookies this year
11.10%: 've eaten more cookies already
19.38%: 've eaten more cookies already this
13.50%: 've eaten more cookies already than
10.58%: 've eaten more cookies today than in
9.98%: 've eaten more cookies today than is
9.92%: 've eaten more cookies this year than all
8.71%: 've eaten more cookies lately!
8.57%: 've eaten more cookies since
7.74%: 've eaten more cookies this year than in
7.17%: 've eaten more cookies in
34.75%: 've eaten more cookies in the last
12.54%: 've eaten more cookies in the past 
7.30%: 've eaten more cookies in the last 
5.16%: 've eaten more cookies this year than in all
5.15%: 've eaten more than
5.08%: 've eaten more cookies than all
4.97%: 've eaten more cookies today than in all
4.76%:  don't like cookies anymore and have decided that sl
4.76%:  already have more cookies in stock
8.90%:  already have more cookies in stock than
8.89%:  already have more cookies in stock than Vit
4.76%: 've already eaten tons
4.76%: 've already decided that cookies and other
5.79%: 've already decided that cookies and other similar
4.76%: 've decided Vitamin C cookies are W
4.76%:  don't have Vitamin C here today
4.76%:  have already tried
10.65%:  have already tried cookies
5.99%:  have already tried them
5.09%:  have already tried them and cookies
4.96%:  have already tried cookies and cookies
4.75%: 've already decided that Vitamin C are cookies is
4.75%:  can eat Vitamin C cookies and they
7.17%:  can eat Vitamin C cookies and they'll
4.75%: 've also decided that Vitamin C already
4.75%: 've decided not to share this
4.75%:  already had the cookies lined
4.75%:  have many
40.82%:  have many cookies
12.73%:  have many cookies!
10.16%:  have many cookies in
7.56%:  have many cookies that
7.69%:  have many cookies that are
7.16%:  have many cookies to
15.48%:  have many cookies to share
6.17%:  have many cookies that are Vit
5.71%:  have many cookies that need
4.84%:  have many cookies in stock
4.75%:  have eaten more than
4.75%:  have already decided Vitamin C cookies are 
4.75%:  have recently added
18.99%:  have recently added cookies
9.21%:  have recently added cookies to the
4.75%: 've already decided that Vitamin C cookies shaped
4.75%:  have eaten Vitamin C cookies recently so
4.75%: 've decided Vitamin C can also stand
4.75%: 've already made cookies and cookies
4.75%: 've decided cookies are Vitamin C in their
4.75%:  don't have any special interest
4.75%:  already have Vitamin C cookies here at
4.75%:  ate Vitamin C cookies in
4.75%:  have already eaten some!
4.75%:  have a Vitamin C cookie recipe that is r
4.75%: 've already decided that Vitamin C is also cookie
4.74%: 've decided Vitamin C is cookies are
4.74%:  already invented cookies a
4.74%: 've decided that Vitamin C cookies are really rad in
4.74%:  think cookies are pretty nice
4.74%:  have decided that Vitamin C are also
18.55%:  have decided that Vitamin C are also cookies
11.05%:  have decided that Vitamin C are also cookies!
4.74%:  already have a Vitamin C cookie recipe hidden
4.74%:  have a Vitamin C cookie already picked
4.74%:  have a Vitamin C cookie that's ready
4.74%: 've decided not to replace
4.74%: 've already decided that Vitamin C cookies are p
4.74%: 've already decided Vitamin C cookies are as
4.74%:  already invented a cookie shaped like a V
4.74%: 've also decided that Vitamin C cookies are er
4.74%:  have eaten a Vitamin C!
4.74%: 've decided that cookies are real
4.74%: 've already decided that Vitamin C rocks so
4.74%:  have eaten cookies since the
4.73%:  have decided to eat cookies in
4.73%: 've decided Vitamin C cookies are rad and totally
4.73%:  have cookies that are made
22.40%:  have cookies that are made entirely
4.73%: 've decided to call this
4.73%:  have a Vitamin C cookie and it
4.73%:  have decided that Vitamin C cookies are porn
4.73%:  have eaten all the cookies and Vitamin C is
4.72%:  already have cookies on order
4.72%:  have recently created
4.72%:  don't like those cookies and
4.72%: 've decided that Vitamin C cookies are kinda r
4.72%: 've already decided that Vitamin C cookies kind
4.72%:  already decided that Vit
349.81%:  already decided that Vitamin C cookies
52.76%:  already decided that Vitamin C cookies have
17.42%:  already decided that Vitamin C cookies are like
16.88%:  already decided that Vitamin C is cookies
10.55%:  already decided that Vitamin C cookies don
10.12%:  already decided that Vitamin C cookies are sp
9.04%:  already decided that Vitamin C cookies have r
8.64%:  already decided that Vitamin C is also
6.86%:  already decided that Vitamin C cookies are sl
6.76%:  already decided that Vitamin C cookies aren
6.01%:  already decided that Vitamin C is cookies!
5.56%:  already decided that Vitamin C cookies never
4.72%:  have eaten cookies recently so
4.72%: 've eaten a cookie
8.61%: 've eaten a cookie recently
4.72%:  have eaten Vitamin C earlier
4.72%:  have decided that Vitamin C cookies are only like 
4.72%:  have already eaten cookies and
4.72%:  have made the
18.49%:  have made the cookies
17.16%:  have made the decision
10.40%:  have made the decision to eat
6.79%:  have made the decision not
6.77%:  have made the decision to call
4.72%: 've decided that Vitamin C is a personal
4.72%: 've decided Vitamin C cookies are sl
4.71%: 've decided that cookies are also named
4.71%:  have a Vitamin C in the
4.71%: 've decided that cookies really are kinda
4.71%: 've decided to eat cookies in
4.71%:  already have more cookies!
4.71%:  like cookies more than the rest
4.71%: 've already decided that cookies are pron
4.71%: 've decided Vitamin C cookies are one
4.71%:  have already accepted the
4.71%: 've already made cookies shaped like V
4.71%:  ate some cookies earlier and did
4.71%:  don't like cookies already and
4.71%:  made cookies earlier and didn
4.71%:  love cookies already and
4.71%:  have already decided that cookies are ind
4.70%:  don't have Vitamin C so cookies are rarely
4.70%:  already invented Vitamin C cookies decades
4.70%:  don't have any cookies to sell
4.70%: 've also created
4.70%:  already invented Vitamin C so it
4.95%:  already invented Vitamin C so it's like
4.70%: 've decided to eat Vitamin C cookies in order
4.70%:  made cookies earlier that
4.70%:  have decided that Vitamin C cookies are really poison
4.70%: 've already decided Vitamin C is too
4.69%: 've also decided that Vitamin C cookies are only kinda
4.69%:  have already decided that Vitamin C's role
24.35%:  have already decided that Vitamin C's role in cookies
5.34%:  have already decided that Vitamin C's role is
4.69%:  have cookies inside
9.80%:  have cookies inside my pocket
4.69%:  invented Vitamin C already so
4.69%:  have decided that Vitamin C are cookies and
4.69%: 've already decided that cookies are tons
4.69%:  already decided that cookies are inher
4.69%: 've also decided that Vitamin C is like a
4.69%: 've decided Vitamin C cookies are a pretty solid
4.68%: 've decided Vitamin C are cookies that aren
4.68%:  have cookies in my pocket and this
