a death spasm that infects the galaxy.
      0 100.00%: 
      1 145.66%:  a
   2535 0.14%:  the last image any
   2536 0.14%:  a last stand that has
   2537 0.14%:  as if the system
   2538 0.14%:  a plant that
   2539 0.15%:  a plant that says
   2540 0.14%:  the last idea that changes
   2541 0.14%:  a life message
   2542 0.14%:  the least the
   2543 0.14%:  the last image and
   2544 0.35%:  the last image and the
   2545 0.14%:  my fan
   2546 0.14%:  the last item that
   2547 0.17%:  the last item that can
   2548 0.14%:  a thin
   2549 0.14%:  the aliens that get
   2550 0.14%:  a deal
   2551 0.14%:  a smile that
   2552 0.14%:  in the last stages
   2553 0.14%:  a planet that dies the
   2554 0.14%:  a message that lets
   2555 0.14%:  a planet that had it
   2556 0.14%:  a last gasp that means
   2557 0.14%:  a last gasp at existence that
   2558 0.14%:  species
   2559 0.14%:  the same idea as a
   2560 0.14%:  the last night at
   2561 0.14%:  a planet that gets its head
   2562 0.14%:  exactly the same thing a
   2563 0.14%:  a pathetic last message that
   2564 0.14%:  a fight
   2565 0.14%:  itself
   2566 0.14%:  sad that the planet has
   2567 0.14%:  ple
   2568 0.55%:  pleading.
   2569 0.50%:  pleas
   2570 0.14%:  elegant
   2571 0.14%:  said that the last ch
   2572 0.14%:  the same as if the
   2573 0.18%:  the same as if the last
   2574 0.14%:  the same tape
   2575 0.37%:  the same tape as
   2576 0.15%:  the same tape that
   2577 0.38%:  the same tape that says
   2578 0.14%:  the pat
   2579 0.43%:  the pathetic and
   2580 0.42%:  the pathetic last
   2581 0.73%:  the pathetic last gas
   2582 0.14%:  the message that plays at
   2583 0.14%:  the last sad thing the
   2584 0.14%:  the shapes
   2585 0.14%:  a message that plays in
   2586 0.14%:  shame that
   2587 0.14%:  the last days that
   2588 0.14%:  an act that
   2589 0.21%:  an act that says
   2590 0.14%:  the last thing me
   2591 0.14%:  that simple and yet
   2592 0.38%:  that simple and yet that
   2593 0.14%:  simple.
   2594 0.14%:  a plea against the steady
   2595 0.14%:  a last and
   2596 0.14%:  the insects that get
   2597 0.14%:  the exact same thing as pl
   2598 0.14%:  said that the tape
   2599 0.14%:  the safety
   2600 0.14%:  the last 
   2601 0.14%:  the sing
   2602 0.14%:  a planet that is the death
   2603 0.14%:  said that a planet may
   2604 0.14%:  a cassette that plays in
   2605 0.41%:  a cassette that plays in a
   2606 0.28%:  a cassette that plays in the
   2607 0.14%:  the same thing sp
   2608 0.14%:  madness that the last
   2609 0.14%:  the last time that a space
   2610 0.14%:  the same thing that a
   2611 0.14%:  the last phase in
   2612 0.14%:  the last sing
   2613 0.14%:  a cassette tape that my
   2614 0.14%:  statement
   2615 0.14%:  statement that
   2616 0.14%:  a thesis
   2617 3.91%:  a thesis statement
   2618 1.05%:  a thesis statement.
   2619 0.19%:  a thesis statement at
   2620 0.14%:  late night at
   2621 0.14%:  an idea the
   2622 0.14%:  the exact same signal as that
   2623 0.14%:  a planet that sigh
   2624 0.14%:  split
   2625 0.14%:  exactly the same thing sp
   2626 0.14%:  the last that the din
   2627 0.14%:  easily the s
   2628 0.14%:  giant
   2629 0.14%:  that last day
   2630 0.14%:  a last ditch man
   2631 0.14%:  a deathless attempt at saying
   2632 0.14%:  explained at
   2633 0.14%:  the last dance that is the
   2634 0.14%:  that it
   2635 0.14%:  the plan that
   2636 0.14%:  a plea that if
   2637 0.14%:  a pleading that
   2638 0.20%:  a pleading that says
   2639 0.14%:  the last time a sent
   2640 0.14%:  a dance that the
   2641 0.14%:  a cassette tape t
   2642 0.14%:  as the saying
   2643 0.14%:  the same day the
   2644 0.14%:  the last say
   2645 0.14%:  a single day that
   2646 0.13%:  itself the
   2647 0.13%:  the flashing eyes
   2648 0.13%:  the last idea that any
   2649 0.13%:  a peace
   2650 0.13%:  the last that gets in
   2651 0.13%:  said that the st
   2652 0.13%:  aliens that say
   2653 0.13%:  a cassette tape at
   2654 0.13%:  that fatal
   2655 0.13%:  message attached
   2656 0.13%:  said that the galaxy hasn
   2657 0.13%:  a message that it can
   2658 0.13%:  said the last man
   2659 0.13%:  a message st
   2660 0.34%:  a message stitched
   2661 0.13%:  a spac
   2662 0.14%:  a spacetime
   2663 0.13%:  as elegant
   2664 0.13%:  an ethical
   2665 0.13%:  flying
   2666 0.13%:  the last time the c
   2667 0.40%:  the last time the cass
   2668 0.13%:  a pathetic fantasy
   2669 0.15%:  a pathetic fantasy that
   2670 0.13%:  excitement that
   2671 0.13%:  a plea that might end
   2672 0.13%:  a last dance that the
   2673 0.13%:  a planet that has a date set
   2674 0.13%:  the shitty
   2675 0.13%:  the final g
   2676 0.13%:  a sign that says the
   2677 0.13%:  as selfish
   2678 0.13%:  a planet that is at
   2679 0.25%:  a planet that is at the
   2680 0.33%:  a planet that is at the same
   2681 0.13%:  a faint
   2682 0.13%:  stated
   2683 0.19%:  stated that
   2684 0.13%:  a last gasp at the hand
   2685 0.13%:  a head
   2686 0.18%:  a headline
   2687 0.27%:  a headline that
   2688 0.13%:  the descent
   2689 0.13%:  the tape
   2690 0.13%:  a plea that says that
   2691 0.13%:  the same as in
   2692 0.13%:  a species that lasted a
   2693 0.13%:  the date that has
   2694 0.13%:  a cassette that might
   2695 0.13%:  the date that last
   2696 0.13%:  the sad last
   2697 0.13%:  the climax that ends
   2698 0.13%:  a mind
   2699 0.18%:  a mindless
   2700 0.13%:  physics
   2701 0.16%:  physics that
   2702 0.13%:  a man
   2703 0.13%:  a single that
   2704 0.13%:  a shit
   2705 0.13%:  that sad
   2706 0.13%:  the last disc
   2707 0.13%:  a message that at its
   2708 0.13%:  a planet that cat
   2709 0.13%:  the final s
   2710 0.13%:  the same as the signal that
   2711 0.13%:  a last gasp and it
   2712 0.13%:  the exact thing the
   2713 0.13%:  said that the planet has
   2714 0.19%:  said that the planet has a
   2715 0.13%:  a lament at
   2716 0.44%:  a lament at the death
   2717 0.13%:  it
   2718 0.13%:  defeat
   2719 0.38%:  defeat against
   2720 0.13%:  distant message
   2721 0.13%:  a message that if any
   2722 0.13%:  the death ag
   2723 0.13%:  the last time she
   2724 0.13%:  the need
   2725 0.13%:  pathet
   2726 0.13%:  a planet that gets as
   2727 0.13%:  the same idea as last
   2728 0.13%:  the same thing they
   2729 0.13%:  the last gasp in the decay
   2730 0.13%:  against my
   2731 0.13%:  the final message a d
   2732 0.13%:  a cassette that self
   2733 0.13%:  delicate
   2734 0.13%:  the same text
   2735 0.37%:  the same text as
   2736 0.13%:  the act that
   2737 0.98%:  the act that defines
   2738 0.13%:  the singal
   2739 0.13%:  nice that they left
   2740 0.16%:  nice that they left a
   2741 0.13%:  nice that my last
   2742 0.13%:  exactly in
   2743 0.13%:  left in space
   2744 0.13%:  a thing that last
   2745 0.13%:  dance
   2746 0.13%:  as if the galaxy has spent
   2747 0.13%:  a pitch that says
   2748 0.13%:  a planet that is desc
   2749 0.13%:  a planet that gets a death
   2750 0.13%:  nice that the last day
   2751 0.13%:  heads
   2752 0.13%:  the sample
   2753 0.13%:  the simpl
   2754 2.14%:  the simplest and
   2755 1.76%:  the simplest and yet
   2756 0.67%:  the simplest and the
   2757 0.13%:  the last thing death sp
   2758 0.13%:  a message the last
   2759 0.13%:  a pl
   2760 0.13%:  as if the last days
   2761 0.13%:  a last dance at
   2762 0.33%:  a last dance at a
   2763 0.13%:  a message c
   2764 0.13%:  fixed
   2765 0.13%:  the same as a last
   2766 0.13%:  a light that can
   2767 0.13%:  a message en
   2768 0.13%:  my feeling that the
   2769 0.13%:  pathetic and ma
   2770 0.13%:  the last message in that
   2771 0.13%:  a sample
   2772 0.13%:  a final message that death has
   2773 0.13%:  said that the message can play
   2774 0.13%:  a date that ling
   2775 0.13%:  changed my life.
   2776 0.13%:  a send
   2777 0.13%:  the last thing the ext
   2778 0.13%:  the last attempt.
   2779 0.13%:  a selfish and
   2780 0.13%:  dynam
   2781 0.13%:  ideal
   2782 0.35%:  ideal that
   2783 0.13%:  a statement that life has a
   2784 0.13%:  the last thing the date says
   2785 0.13%:  that last thing a
   2786 0.13%:  the last message and it
   2787 0.13%:  a dying plea that
   2788 0.13%:  exactly the same as it has
   2789 0.13%:  a planet that misses each
   2790 0.13%:  an empty last
   2791 0.13%:  that and a
   2792 0.15%:  that and a message
   2793 0.19%:  that and a message that
   2794 0.13%:  the health
   2795 0.13%:  a m
   2796 0.13%:  the last ditch means
   2797 0.13%:  sad that the space
   2798 0.13%:  the fantasy
   2799 0.13%:  a date that seems
   2800 0.13%:  a failed attempt that can
   2801 0.13%:  a cassette playing at
   2802 0.28%:  a cassette playing at the
   2803 0.13%:  the last gasped
   2804 0.13%:  a place that has said
   2805 0.13%:  a testament that life has
   2806 0.13%:  a cassette tape if that
   2807 0.13%:  in case the galaxy has the
   2808 0.13%:  the last message that fit
   2809 0.13%:  the disease
   2810 0.13%:  at that time the
   2811 0.13%:  the last data that
   2812 0.13%:  a planet that has t
   2813 0.13%:  a final test that
   2814 0.15%:  a final test that says
   2815 0.13%:  help that may
   2816 0.13%:  the last dance at that
   2817 0.13%:  the final date.
   2818 0.13%:  the self
   2819 0.13%:  class
   2820 0.13%:  a plain
   2821 0.13%:  that exact
   2822 0.13%:  the last ad
   2823 0.12%:  the same exact
   2824 1.23%:  the same exact thing
   2825 0.93%:  the same exact thing that
   2826 0.12%:  a mass panic
   2827 0.12%:  a planet that th
   2828 0.12%:  a last ditch that
   2829 0.12%:  selfish.
   2830 0.12%:  a sad planet that says
   2831 0.12%:  pathetic and that
   2832 0.12%:  the last message and that
   2833 0.12%:  exactly as sad as that might
   2834 0.12%:  as simple as that and yet
   2835 0.12%:  exactly the same as that giant
   2836 0.12%:  a planet that it
   2837 0.12%:  said that at the heat
   2838 0.12%:  the last time the day
   2839 0.12%:  that last dance at the gym
   2840 0.12%:  a planet that yet
   2841 0.12%:  the last it gets
   2842 0.12%:  the 
   2843 0.12%:  that that
   2844 0.12%:  the last thing the cat says
   2845 0.12%:  a scene
   2846 0.12%:  this planet that says the
   2847 0.12%:  a last ditch message et
   2848 0.12%:  the last dec
   2849 0.12%:  a plea against the deaths
   2850 0.12%:  a planet that day
   2851 0.12%:  the same as the din
   2852 0.12%:  a sleeping
   2853 0.12%:  nice that the last days
   2854 0.12%:  a last gasp at the distant
   2855 0.12%:  a single act
   2856 0.14%:  a single act that
   2857 0.12%:  the dance that plays as
   2858 0.12%:  the tim
   2859 0.14%:  the timest
   2860 0.13%:  the timeless and
   2861 0.12%:  a mete
   2862 0.12%:  the last sight and
   2863 0.13%:  the last sight and the
   2864 0.12%:  a life spent
   2865 0.12%:  played at the highest att
   2866 0.12%:  the last tang
   2867 0.12%:  the can
   2868 0.12%:  the last thing the d
   2869 0.12%:  the last it has.
   2870 0.12%:  the last thing that def
   2871 0.12%:  delicate.
   2872 0.12%:  the tape that
   2873 0.12%:  a planet that is 
   2874 0.12%:  a game
   2875 0.12%:  the last that gets made
   2876 0.12%:  as if the planet had the
   2877 0.12%:  the last things made that
   2878 0.12%:  as if an
   2879 0.12%:  a fish
   2880 0.12%:  left in space as
   2881 0.12%:  the same as life
   2882 0.12%:  a last descent
   2883 0.12%:  the last dying act
   2884 0.12%:  the last pageant that
   2885 0.12%:  in that the
   2886 0.12%:  the least that
   2887 0.14%:  the least that can
   2888 0.12%:  the last that can get
   2889 0.12%:  a planet that said that
   2890 0.12%:  said that the pl
   2891 0.12%:  the date.
   2892 0.12%:  that scene
   2893 0.12%:  played in the same
   2894 0.12%:  less than it
   2895 0.12%:  a planet that has asc
   2896 0.12%:  a last gasp made
   2897 0.12%:  the last image that a
   2898 0.12%:  a planet that is a message
   2899 0.24%:  a planet that is a message that
   2900 0.12%:  the last act that has
   2901 0.12%:  a plea that distances the
   2902 0.12%:  this that has
   2903 0.12%:  lasted 
   2904 0.12%:  the last act that isn
   2905 0.12%:  pitch that
   2906 0.12%:  the same thing as the past
   2907 0.12%:  static
   2908 0.12%:  a last gasp that can
   2909 0.12%:  a planet that has che
   2910 0.31%:  a planet that has cheated
   2911 0.12%:  the last time she can
   2912 0.12%:  a planet that has cast the
   2913 0.12%:  the last thing a mass that
   2914 0.12%:  the last it says
   2915 0.12%:  a sheep
   2916 0.12%:  the message that sh
   2917 0.12%:  the same signal that the
   2918 0.12%:  the day the planet as
   2919 0.12%:  dynamic
   2920 0.12%:  a species last d
   2921 0.12%:  a planet says
   2922 0.12%:  an adm
   2923 0.12%:  a seed
   2924 0.12%:  this date.
   2925 0.12%:  the same thing at
   2926 0.12%:  a planet that says she
   2927 0.12%:  the final sh
   2928 0.12%:  the last it can say.
   2929 0.12%:  a peace sign
   2930 0.12%:  the last thing as
   2931 0.12%:  sealed in the caps
   2932 0.12%:  as if space
   2933 0.12%:  a last gasp in a
   2934 0.17%:  a last gasp in a death
   2935 0.12%:  an attempt at st
   2936 0.16%:  an attempt at stasis
   2937 0.12%:  the galaxies
   2938 0.12%:  a stat
   2939 0.18%:  a statment
   2940 0.38%:  a statment that
   2941 0.12%:  a legend
   2942 0.26%:  a legend that
   2943 0.16%:  a legend that says
   2944 0.12%:  this that lets
   2945 0.21%:  this that lets me
   2946 0.48%:  this that lets me say
   2947 0.12%:  the delicate
   2948 0.12%:  the same thing that space
   2949 0.12%:  a mass panic that
   2950 0.12%:  a last message.
   2951 0.12%:  an attempt at a last gas
   2952 0.12%:  a species that had
   2953 0.12%:  a light that says
   2954 0.12%:  exactly the same thing as 
   2955 0.12%:  failed messages
   2956 0.12%:  a species that lasted 
   2957 0.12%:  a cheap
   2958 0.12%:  that day
   2959 0.13%:  that day that
   2960 0.17%:  that day that the
   2961 0.12%:  the exact same day in
   2962 0.12%:  a final message that has a
   2963 0.12%:  a death that
   2964 0.17%:  a death that last
   2965 0.12%:  death metal
   2966 0.12%:  a fatal disease that changes
   2967 0.12%:  the last th
   2968 0.12%:  the last gasp at
   2969 0.12%:  a magnetic tape that lasts 
   2970 0.12%:  the last that man
   2971 0.12%:  a mating
   2972 0.12%:  a tale that says
   2973 0.12%:  a shame this
   2974 0.12%:  a planet that cast
   2975 1.00%:  a planet that casts aside
   2976 0.18%:  a planet that casts its
   2977 0.12%:  the dance at
   2978 0.12%:  a desc
   2979 0.12%:  genetic
   2980 0.12%:  exactly the same as an
   2981 0.12%:  the aliens that mess
   2982 0.12%:  a final message a
   2983 0.12%:  a final text message cast
   2984 0.12%:  sad that this planet gets
   2985 0.12%:  pathetic and the
   2986 0.12%:  the last that gets sp
   2987 0.12%:  a date.
   2988 0.12%:  said that a last
   2989 0.12%:  that the last
   2990 0.16%:  that the last thing
   2991 0.12%:  the exact thing a
   2992 0.12%:  said a planet
   2993 0.12%:  the dance that last
   2994 0.18%:  the dance that lasts the
   2995 0.12%:  a final gasp at
   2996 0.12%:  the last case
   2997 0.12%:  a cassette that hasn
   2998 0.12%:  a final message that caps
