because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 2498.90%:  because
   7760 256.81%:  because sometimes I worry things never go my
   7761 174.28%:  because I'm not really feeling too
   7762 174.27%:  because it seems like I was looking
   7763 174.21%:  because everything in my life makes me so
   7764 174.20%:  because sometimes I like to imagine my own reg
   7765 174.18%:  because normally it's so overwhelming
   7766 174.16%:  because sometimes I imagine my interviews
   7767 190.85%:  because sometimes I imagine my interviews go
   7768 174.12%:  because sometimes I imagine fights over
   7769 174.05%:  because sometimes I worry there's no living
   7770 174.02%:  because I've got like eight
   7771 797.49%:  because I've got like eight million
   7772 2060.57%:  because I've got like eight million reasons
   7773 643.98%:  because I've got like eight million awesome
   7774 188.55%:  because I've got like eight million ways
   7775 173.99%:  sometimes I imagine things will be way more er
   7776 173.98%:  because I'm getting really
   7777 173.83%:  sometimes I imagine things are more sur
   7778 173.80%:  sometimes I worry my imagination is ill
   7779 173.76%:  because sometimes I worry this life
   7780 173.68%:  because sometimes I really worry we're moving things
   7781 173.67%:  because sometimes I worry we're all sort
   7782 173.62%:  because sometimes I worry if there's one
   7783 173.62%:  because sometimes in real life we
   7784 327.44%:  because sometimes in real life we think
   7785 279.22%:  because sometimes in real life we'
   7786 185.26%:  because sometimes in real life we worry
   7787 173.55%:  because it seems like something I'm really
   7788 173.48%:  because everyone knows if
   7789 173.48%:  because sometimes we make the
   7790 173.47%:  because sometimes I worry if it's going well
   7791 173.42%:  because sometimes I worry we're not really k
   7792 173.41%:  because sometimes I imagine the loser of
   7793 173.31%:  sometimes I imagine things are more work
   7794 173.25%:  because in my version the game goes
   7795 173.23%:  because sometimes I wish life weren
   7796 173.21%:  because sometimes I think falling
   7797 173.21%:  because sometimes I imagine my life serving
   7798 173.13%:  because I'm really into stories where losing
   7799 173.11%:  because sometimes I think my life goals were
   7800 173.10%:  because I think it's awesome if
   7801 288.11%:  because I think it's awesome if someone
   7802 173.08%:  because sometimes I worry the wrong
   7803 173.07%:  because sometimes I imagine my love life this
   7804 173.04%:  because sometimes I worry there's an in
   7805 173.02%:  because sometimes I think my life is way more like
   7806 172.94%:  because everyone knows the way
   7807 172.92%:  because sometimes I imagine history like
   7808 172.91%:  because sometimes I worry it's like walking
   7809 172.89%:  because I was going to think
   7810 458.93%:  because I was going to think of
   7811 172.86%:  because sometimes I still have ling
   7812 172.84%:  because it seems like there was room
   7813 172.81%:  because it seems like it's way more work giving
   7814 375.78%:  because it seems like it's way more work giving me
   7815 172.81%:  because I'm not really seeing how sometimes
   7816 172.79%:  because sometimes I imagine seeing him
   7817 172.78%:  because otherwise I'm asking myself too
   7818 172.75%:  because sometimes I worry things will leave me if
   7819 172.70%:  because normally it seems like one
   7820 172.69%:  because everything in my life is so great
   7821 172.69%:  because sometimes I worry if we're talking over
   7822 172.69%:  because sometimes I imagine it'll work
   7823 172.69%:  because sometimes I imagine life in
   7824 458.98%:  because sometimes I imagine life in the
   7825 172.69%:  because there's still so many more
   7826 172.65%:  because sometimes I imagine my life working this well
   7827 172.64%:  because otherwise I was listening
   7828 172.61%:  because it seems like I'm making this more
   7829 172.57%:  sometimes I worry we're not having real life
   7830 172.56%:  because sometimes I worry reality is overwhelming
   7831 172.54%:  because sometimes I worry otherwise
   7832 172.50%:  because otherwise I'm going to ask if
   7833 279.47%:  because otherwise I'm going to ask if we
   7834 172.47%:  because sometimes I worry overthinking will make my girls
   7835 172.42%:  because normally when I write
   7836 320.08%:  because normally when I write stories
   7837 186.61%:  because normally when I write stories like
   7838 176.08%:  because normally when I write stories for
   7839 529.12%:  because normally when I write stories for my
   7840 172.35%:  because sometimes I worry we're only making this life
   7841 172.34%:  because in my version of the story I saw
   7842 172.30%:  because sometimes I think my life is really going over
   7843 172.26%:  because there's several
   7844 172.23%:  because I never know where
   7845 172.19%:  because sometimes I imagine the l
   7846 172.17%:  sometimes I imagine myself being a rock
   7847 172.17%:  because sometimes I think feeling
   7848 185.13%:  because sometimes I think feeling like
   7849 172.16%:  because sometimes I like making it seem
   7850 172.15%:  because sometimes it feels like I'm going way
   7851 172.10%:  because everyone else was too
   7852 172.08%:  because sometimes I imagine this moving
   7853 172.05%:  because sometimes I worry we're imagining it like
   7854 172.04%:  because everything else in my life was too
   7855 171.98%:  because when we
   7856 171.98%:  because sometimes I worry my own life is irrelevant
   7857 171.93%:  because I'm still looking for the sense
   7858 171.92%:  because sometimes I worry we're not realising
   7859 171.88%:  because sometimes I like to imagine life solving my
   7860 171.85%:  because sometimes I like to imagine how'
   7861 171.83%:  because sometimes I like imagine things over
   7862 171.80%:  because otherwise I've essentially
   7863 171.80%:  because sometimes I like to imagine while my
   7864 171.79%:  because it seems like a lot more work when I'
   7865 171.74%:  because sometimes I like to imagine who's in
   7866 171.74%:  because sometimes I worry mine isn
   7867 270.07%:  because sometimes I worry mine isn't really
   7868 171.73%:  because sometimes I worry nothing really ever
   7869 171.66%:  because otherwise I'm talking
   7870 171.66%:  because in my version of the story we saw
   7871 171.65%:  because I have some feelings now
   7872 171.65%:  because it seems like I'm the
   7873 618.90%:  because it seems like I'm the only one for
   7874 581.35%:  because it seems like I'm the only one of
   7875 453.47%:  because it seems like I'm the one
   7876 3342.01%:  because it seems like I'm the one losing
   7877 1285.98%:  because it seems like I'm the one making
   7878 237.78%:  because it seems like I'm the only living
   7879 171.63%:  because sometimes I imagine folks
   7880 171.62%:  because it seems like not
   7881 171.58%:  because it seems like one of the
   7882 171.53%:  because sometimes when I'm writing really
   7883 171.53%:  because I think we've finally
   7884 171.53%:  because sometimes I think we're moving really slow
   7885 171.45%:  because sometimes I think everyone is f
   7886 171.42%:  because I'm really trying to feel
   7887 634.18%:  because I'm really trying to feel worse
   7888 171.42%:  because I've got stories from
   7889 171.41%:  sometimes when I imagine my favourite
   7890 171.40%:  because I was going to tell him some lies
   7891 171.39%:  because sometimes I like thinking of ways
   7892 171.38%:  because it seems like I've got like
   7893 171.35%:  because sometimes it feels like way
   7894 171.33%:  because in my version of this story we're l
   7895 171.29%:  because sometimes I like thinking more
   7896 171.29%:  because sometimes I imagine things feel
   7897 171.23%:  because sometimes I worry we'll never hit
   7898 208.99%:  because sometimes I worry we'll never hit on
   7899 171.22%:  because sometimes it feels like I'm aim
   7900 171.22%:  because otherwise I've still
   7901 171.17%:  because I've got one more thing
   7902 171.15%:  because sometimes when I'm asking for it
   7903 171.12%:  because I've got some things on
   7904 171.06%:  because it seems like a lot of work in my
   7905 171.01%:  because sometimes I think we're living like
   7906 171.00%:  because sometimes I worry if there really
   7907 170.99%:  because everything else in my stories
   7908 170.94%:  because sometimes when I'm lonely it worries
   7909 170.94%:  because in my version of reality I still
   7910 170.92%:  because sometimes I imagine solving
   7911 373.22%:  because sometimes I imagine solving my
   7912 280.23%:  because sometimes I imagine solving the
   7913 256.30%:  because sometimes I imagine solving my life
