FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
34.88%:  RE
0.05%:  FOR SOME REASONS BE
0.11%:  FOR SOME REASONS BEYOND THE
0.07%:  FOR SOME REASONS BEYOND THE RE
0.05%:  FOR LESSONS OR WH
0.05%:  A HORSE RELATED REASON AS
0.05%:  REAL HORSES ON
0.05%:  CHESS IDE
0.05%:  FOR MY HORSE IS
0.05%:  FOR SOME REASON I CAN ONLY DESCRIBE AS WHATE
0.05%:  FOR NO REASON I CAN EASILY RE
0.05%:  FOR SOME REASON ALREADY THIS WAS
0.05%:  SOME SOCIAL REASON I
0.13%:  SOME SOCIAL REASON I CANNOT
0.05%:  REASONS OR OTHER
0.05%:  FOR SOME REASON I ALWAYS NOTICE
0.05%:  EN
0.05%:  "SECRET REASONS" I
0.05%:  FOR SOME REASON THIS SO
0.05%:  SOME REASON IT SO
0.05%:  REASONS I CANNOT SHARE BE
0.05%:  FOR CHESS ON
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "SOME TH
0.05%:  REASONS BASED IN THE
0.05%:  FOR ANY REASON A
0.05%:  FOR AWESOME REASONS I CAN NO
0.05%:  FOR AWESOME REASONS THIS
0.05%:  REAL HORSE REASONS I CANNOT DIS
0.05%:  RANDOM REASONS WHAT
0.05%:  FOR SOME HORSE SE
0.05%:  FOR A SECRET REASON IN
0.05%:  AWESOME REASONS I CANNOT SAY AL
0.05%:  FOR LESSONS ON THE AR
0.05%: SOME REASON OR
0.05%:  CHESS AND ST
0.05%:  FOR SOME REASON REASONS WHY
0.05%:  FOR SOME REASON STRAN
0.05%:  FOR NO REASON ABO
0.05%:  FOR ANIMAL C
0.07%:  FOR ANIMAL CHESS RE
0.05%:  FOR REASONS ALSO IN
0.05%:  FOR NOT
0.05%:  FOR SOME REASON REASONS WITH
0.05%:  FOR EROTIC REASONS I
0.05%:  "CHESS B
0.06%:  "CHESS BRE
0.05%: FOR SOME REASON IT
0.05%:  FOR SOME REASON HOW I CAN
0.05%:  FOR SOME REASON THOSE D
0.05%:  FOR A HORSE AND A
0.05%:  FOR MY OWN RE
0.05%:  SOME BE
0.05%:  MANLY CON
0.05%:  FOR HORSE REASONS A
0.05%:  MORE REASONS THAN I CAN CLE
0.05%:  CHESS RELATED REASONS BE
0.05%:  FOR SOME REASON I ALWAYS B
0.05%:  FOR SOME REASON NOW IT SE
0.05%:  LESSONS FOR MY HORSE IN
0.05%:  FOR SOME REASON THESE ARE SO
0.05%:  FOR SOME REASON CO
0.05%:  FOR SOME REASON I ONLY RE
0.05%:  A CHEE
0.09%:  A CHEESE S
0.05%:  A CHEESE AND
0.05%:  FOR SOME SECRET REASON BE
0.05%:  CONSO
0.08%:  CONSOLE AD
0.05%:  FOR CHESS TR
0.05%:  FOR SOME AS Y
0.05%:  FOR SOME REASON I CAN S
0.14%:  FOR SOME REASON I CAN SENSE THE
0.08%:  FOR SOME REASON I CAN SENSE IT
0.06%:  FOR SOME REASON I CAN SENSE A
0.05%:  CHESS TRAD
0.05%:  A REASON I CANNOT F
0.05%:  FOR SOME REASON ALWAYS RE
0.05%:  HORSE ST
0.05%:  FOR MORE WIN
0.05%:  OTHER REASONS MAN
0.05%:  FOR A HORSES
0.05%:  FOR SOME REASON THERE WAS AL
0.08%:  FOR SOME REASON THERE WAS ALWAYS ONE
0.05%:  FOR HORSE MAN
0.05%:  HORSE RELATED NEWS
0.05%:  A CHEESE SN
0.05%:  FOR SOME REASON WORSE THAN I B
0.05%:  SOME REASON TODAY I FEEL RE
0.05%:  SOME REASON I NEED A HORSE TO S
0.05%:  "CHESS STR
0.05%:  FOR SOME REASON I CAN ONLY DESCRIBE AS THE "W
0.05%:  FOR REASONS I AM NOT ASH
0.05%:  FOR REASONS ALONE
0.05%:  REAL REASONS ACT
0.05%:  FOR WHAT REASON CAN
0.05%:  FOR SOME REASON I WAS AL
0.12%:  FOR SOME REASON I WAS ALREAD
0.12%:  FOR SOME REASON I WAS ALWAYS CON
0.08%:  FOR SOME REASON I WAS ALREADY HE
0.06%:  FOR SOME REASON I WAS ALREADY ON
0.05%:  A HORSE RELATED E
0.05%:  SOME HORSE FE
0.05%:  FOR MORE REASONS THAN I CAN O
0.05%:  REASONS M
0.06%:  REASONS MENT
0.05%:  MEDICAL REASONS SO
0.05%:  FOR SOME REASON I WONDER WHE
0.05%:  FOR REAL T
0.05%:  FOR MORE REASONS THAN I CA
0.05%:  FOR REASONS BEYOND THE REAS
0.05%:  A HORSE RELATED REASON I CAN NOW
0.05%:  ANY REASONS RE
0.05%:  FOR BECA
0.05%:  A HORSE RELATED REASON I CAN ON
0.05%:  THE RE
0.08%:  THE REAS
0.05%:  FOR MORE REASONS THAN I CAN SAY I
0.05%:  FOR REAL REASONS AS
0.05%:  FOR ANY REAL
0.21%:  FOR ANY REAL REASON AT
0.11%:  FOR ANY REAL REASON I
0.22%:  FOR ANY REAL REASON I CAN CO
0.09%:  FOR ANY REAL REASON WH
0.09%:  FOR ANY REAL REASON I CAN MA
0.06%:  FOR ANY REAL REASONS
0.05%:  HORSES NE
0.05%:  HORSE LE
0.05%:  FOR SOME REASON WHEN I SAW
0.05%:  DA
0.05%:  FOR WHAT REASONS I CAN ON
0.05%:  REASONS ALREADY FORM
0.05%:  "CHESS EM
0.05%:  FOR WHAT REASON I CAN ONLY DESCRIBE AS A M
0.05%:  FOR SOME REASON HORSES CAN ACT
0.05%:  FOR SOME REASON CANNOT
0.05%:  FOR WHAT REASON I CAN ONLY DESCRIBE AS "AS
0.05%:  FOR REASONS BEYOND ME
0.05%:  FOR RANDOM REASONS WHAT
0.05%:  FOR SOME REASON I NEED TO SAY "HE
0.05%:  SOMEONE ELSE H
0.07%:  SOMEONE ELSE HAS TO
0.05%:  AND
0.08%:  AND OTHER
0.05%:  FOR CHESS RELATED I
0.05%: FOR SOME REASON OR AN
0.05%:  "CHESS INFORM
0.05%:  SECRET HORSE AD
0.05%:  HORSE RELATED REASONS W
0.05%:  HORSES NEED TO
0.05%:  FOR HORSE REASONS SO
0.05%:  CHESS OR SO
0.05%:  SOME REASON IT WON
0.05%:  FOR SOME REASON AND I RE
0.05%:  FOR AN AT
0.05%:  SOME REASON I WANT A
0.05%:  FOR SOME REASON LEAR
0.05%:  SOME HORSE AN
0.05%:  FOR LESSONS AND
0.05%:  FOR A HORSE NAMED "B
0.05%:  REAL REASONS IN THIS COM
0.05%:  ANIMAL C
0.06%:  ANIMAL CHESS RE
0.05%:  CHESS RELATED REASONS 
0.05%:  FOR MORE REASONS THAN CAN BE DES
0.05%:  SOME REAL HORSEY RE
0.05%: REASONS IN
0.05%:  LESSONS WITH MY
0.07%:  LESSONS WITH MY NEW
0.05%:  SOME REASON I FEEL A CON
0.05%:  SOMEONE ELSE HAS BE
0.05%: ERR
0.05%:  FOR SOME REASON TON
0.05%:  FOR SOME REASON I SEE HORSE C
0.05%:  FOR SOME REASON WINTER
0.05%:  FOR ANY REASON I M
0.05%:  MORE HORSEY
0.05%:  SECRET HORSE LE
0.05%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "HEA
0.05%:  RACIAL
0.05%:  "LESSONS" WITH
0.05%:  FOR MY NEW
0.05%:  FOR SOME REASON A HORSE AND C
0.05%:  FOR CHESS SEAS
0.05%:  FOR SECRET REASONS I CAN NE
0.05%:  HORSE OR
0.05%:  CHESS RELATED IN
0.05%:  FOR SOME REASON THOSE ARE C
0.05%:  FOR REASONS NO
0.05%:  FOR SOME REASON I CRA
0.05%:  FOR SOME REASON I NEED TO CHESS A
0.05%:  A REASON TO
0.05%:  FOR WHAT REASONS NO
0.05%:  SOME WEIRD REASON THIS
0.05%:  FOR SOME REASON WON
0.05%:  AN ERROR IN
0.05%:  MORE REASONS THAN A
0.05%:  "MED
0.14%:  "MEDICAL REASONS" OR
0.08%:  "MEDICAL REASONS" IN
0.08%:  "MEDICAL REASONS" WH
0.06%:  "MEDICAL"
0.06%:  "MEDICAL REASONS" OR WH
0.05%:  "MEDICAL REASONS" I
0.05%:  "MEDICAL REASONS" AS
0.05%:  FOR SOME REASON ALREADY NO
0.05%:  FOR SOME REASON I BET
0.05%:  RANDOM REASONS WHY
0.05%:  FOR SOME REASON LESS THAN A
0.05%:  FOR SOME REASON REALITY IS
0.05%:  MORE CHESS LEAR
0.05%:  SOME REASON I CANNOT DEF
0.05%:  FOR A WORD
0.05%:  FOR ANY REASON B
0.73%:  FOR ANY REASON BESIDES THIS
0.38%:  FOR ANY REASON BESIDES WH
0.32%:  FOR ANY REASON BESIDES THE
0.21%:  FOR ANY REASON BESIDES WHAT I
0.15%:  FOR ANY REASON BESIDES C
0.11%:  FOR ANY REASON BESIDES H
0.10%:  FOR ANY REASON BESIDES "
0.09%:  FOR ANY REASON BESIDES TO
0.09%:  FOR ANY REASON BESIDES WHAT WE
0.08%:  FOR ANY REASON BESIDES THE RE
0.08%:  FOR ANY REASON BESIDES A
0.08%:  FOR ANY REASON BESIDES CHEAT
0.07%:  FOR ANY REASON BESIDES WHAT I SA
0.07%:  FOR ANY REASON BESIDES T
0.05%:  FOR CHESS RELATED REASONS IN MY
0.05%:  FOR SOME REASON I DON"T RE
0.05%:  FOR AWESOME REASONS ALREADY BE
0.05%:  FOR A REASON I DARE NOT SH
0.05%:  FOR A NEW
0.05%:  SOME SECRET REASON I FOR
0.05%:  FOR MORE CHESS TR
0.05%:  FOR MORE CHESS ST
0.05%:  AWESOME HORSE A
0.05%:  CHESS LESSON TIME
0.05%:  REASONS I CANNOT DESCRIBE OR
0.05%:  FOR SOME REASON I HAS
0.05%:  FOR SOME REASON I NEED TO WE
0.05%:  FOR SOME REASON I NEED TO WEAR A H
0.05%:  FOR AMA
0.05%:  SOME REASON BE
0.07%:  SOME REASON BEYOND THE
0.05%:  FOR SOME REASON THEY WON
0.05%:  REASONS I NE
0.05%:  FOR CHESS RELATED REASONS I B
0.05%:  FOR SECRET A
0.05%:  HORSE RELATED REASONS OF MY OWN C
0.05%:  FOR SOME SOCIAL REASONS WH
0.05%:  RACIAL RE
0.05%:  FOR SOME REASON THERE IS NO W
0.06%:  FOR SOME REASON THERE IS NO WAY I CAN S
0.06%:  FOR SOME REASON THERE IS NO WAY I CAN E
0.05%:  SOME REASON I NEED TO R
0.05%:  SOME REASON WHY I D
0.05%:  FOR SOME REASON THEY ARE B
0.05%:  FOR ANYONE WHO M
0.05%: SER
0.05%:  FOR SOCIAL REASONS I D
0.05%:  FOR SOME B
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS HO
0.05%:  FOR SOCIAL REASONS AND RE
0.05%:  FOR SOME WEIRD REASON I S
0.05%:  FOR SOME WEIRD REASON I SENSE
0.05%:  FOR ONE MORE CHESS LE
0.05%:  FOR SOME REASON IT HAS BEEN S
0.05%:  FOR CHESS MO
0.05%:  FOR SECRET S
0.05%:  MORE REASONS TO DIS
0.05%:  A HORSE F
0.14%:  A HORSE FRIENDS
0.09%:  A HORSE FRIENDS RE
0.05%:  FOR SOME REASON LESS THAN OB
0.05%:  FOR HORSE REASONS D
0.05%:  FOR "CHESS D
0.06%:  FOR "CHESS DAYS
0.05%:  FOR MORE HORSE S
0.06%:  FOR MORE HORSE SENSE
0.05%:  FOR REASONS I CAN ONLY DESCRIBE AS "THE W
0.05%:  FOR SOME REASON WITH C
0.05%:  OTHER REASONS AND AL
0.17%:  OTHER REASONS AND ALSO FOR
0.05%:  A HORSE RELATED REASON W
0.05%:  "HORSE AND
0.05%:  FOR SH
0.05%:  FOR SHAME
0.05%:  FOR SOME REASON I ALREADY T
0.05%:  REASONS I CAN ONLY DESCRIBE AS "THER
0.05%:  HORSE RELATED REASONS OF A
0.05%:  FOR SOME REASON SER
0.05%:  FOR SOME REASON WORSE THAN L
0.05%:  FOR MORE REASONS THAN CAN BE SAID AL
0.05%:  SEARCH
0.05%:  AWESOME HORSE FACT
0.05%:  SOME HORSES ON
0.05%:  SOME REASON REAL
0.46%:  SOME REASON REAL HORSES CAN
0.14%:  SOME REASON REAL HORSES CAN BE
0.07%:  SOME REASON REAL HORSES D
0.06%:  SOME REASON REAL HORSES CANNOT
0.05%:  SOME REASON REAL HORSES W
0.05%:  SOME REASON REAL HORSES CAN BEAT
0.05%:  FOR SOME REASON THESE ARE AL
0.09%:  FOR SOME REASON THESE ARE ALWAY
0.05%:  FOR ANIMAL S
0.05%:  STABLE M
0.05%:  FOR LESSONS IN HORSEY
0.05%:  REASONS I RE
0.05%:  FOR SOME REASON THIS DAY
0.05%:  FOR REASONS WHAT
0.05%:  FORWAR
0.05%:  AWESOME REASONS I CANNOT F
0.05%:  FOR CHESS REASONS ABO
0.05%:  SOME HORSE ERO
0.05%:  FOR ANOTHER M
0.05%:  REASONS I CANNOT BE
0.05%:  FOR EROTIC REASONS ON
0.05%:  FOR SOME REASON WED
0.05%:  FOR AWESOME REASONS NOT R
0.05%:  FOR SOME CHESS REAL
0.05%:  FOR CHESS AND RE
0.05%:  REASONS NOT R
0.05%:  AWESOME REASONS I CANNOT SHARE BE
0.05%:  FOR REAL AND
0.05%:  "INS
0.05%:  FOR SOME REASON THE REASON EL
0.05%:  FOR SOME REASON I NEED HORSES W
0.05%:  FOR NO REASON I CO
0.05%:  FOR AWESOME REASONS I CANNOT EL
0.05%: ANY
0.35%: ANY REASON RE
0.22%: ANY REASON AT
0.08%: ANY REASON WH
0.05%:  FOR SOME REASON LESS THAN C
0.05%:  FOR MY B
0.05%: SECRET REASONS I
0.05%:  FOR MY D
0.05%:  HORSE SOME
0.05%:  FOR RELATED
0.05%:  REAL HORSE ST
0.05%:  FOR SECOND
0.05%:  MORE REASONS WHY I CAN WIN
0.05%:  FOR ANY REASON BESIDES "TO
0.05%:  FOR SOME HEART
0.05%:  FOR SOME REASON BEYOND WHIC
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "SO H
0.05%:  A REASON OTHER
0.05%:  AWESOME REASONS ALONE
0.05%:  FOR REAL B
0.05%:  FOR SOME REASON WAL
0.05%:  FOR SOME BASIC REASON I
0.07%:  FOR SOME BASIC REASON I CANNOT
0.05%:  FOR SOME REASON I WAS C
0.05%:  AWESOME CH
0.05%:  SOME SORT OF REASON I
0.05%:  FOR SOME REASON I CAN"
0.05%:  FOR A REASON I DO
0.05%:  FOR A REASON I DO NOT W
0.05%:  NO REAL
0.18%:  NO REAL REASON AT
0.10%:  NO REAL REASON WH
0.08%:  NO REAL REASON RE
0.05%:  FOR CHESS REASONS BE
0.05%:  FOR HORSE OR
0.05%:  A HORSE MESS
0.05%:  FOR SOME REASON A HORSE A
0.05%:  RADIO RE
0.05%:  FOR MEDICAL REASONS A
0.05%:  FOR REASONS I CAN NOT DIS
0.05%:  FOR AWESOME REASONS WHY
0.05%:  OBS
0.05%:  FOR SOME REASON AR
0.05%:  FOR SOME REASON ALREADY CAN
0.05%:  REASONS REASONS I
0.07%:  REASONS REASONS I CAN
0.05%:  REASONS BEYOND ME
0.05%:  AWESOME REASONS SO
0.05%:  FOR SOME HORSE REASONS A
0.05%:  FOR REASONS ON
0.05%:  ETERN
0.05%:  ETERNAL
0.05%:  FOR SOCIAL REASONS I CANNOT RE
0.05%: FOR REALS
0.05%:  FOR ANY REASON TO
0.05%:  FOR SOME REASON IT IS RE
0.05%:  FOR SOME REASON I WAS CERT
0.05%:  FOR REASONS I CAN ONLY DESCRIBE AS "ETH
0.05%:  FOR SOME CHEESE AND
0.05%:  FOR SOME REASON THIS IS ONLY W
0.05%:  FOR AWESOME HORSE RIDES
0.05%:  FOR CHESS ORD
0.05%:  FOR CHESS AS
0.05%:  SOME REASON ONLY THE
0.05%:  AWESOME HORSE RELATED S
0.05%:  FOR SOME REASON AND IT IS
0.05%:  FOR SOME REASON THEY WERE C
0.05%:  FOR HORSE LO
0.05%:  FOR SOME REASON TWO
0.05%:  FOR REAL REASONS H
0.05%:  SOME REASON INSTEAD OF HO
0.05%:  FOR SOME REASON THE L
0.05%:  FOR SOME ST
0.52%:  FOR SOME STABLE RE
0.09%:  FOR SOME STABLE REASONS I
0.06%:  FOR SOME STABLE REASONS WH
0.05%:  FOR SOME STABLE REASON I
0.08%:  FOR SOME STABLE REASON I CAN
0.05%:  DINNER TIME
0.05%:  FORMAL REASONS AND
0.05%:  "CHESS" TIME
0.05%:  DEB
0.05%:  FOR HE
0.05%:  FOR CHESS REASONS OB
0.05%:  FOR SOME REASON AND WH
0.05%:  FOR HORSE ME
0.05%:  CONSENT
0.05%:  FOR SOME REASON IT HAS BEEN C
0.05%:  FOR ANY REASONS RE
0.05%:  ANY OTHER REASONS I
0.05%:  LESSONS AND
0.05%:  FOR SOME REASON BEYOND WHAT I CAN C
0.05%:  FOR CHESS REASONS RE
0.05%:  SOL
0.05%:  FOR SOME REASON IT HAS BEEN CLE
0.05%:  FOR SOME REASON I CAN ONLY DESCRIBE AS A "WHAT
0.05%:  FOR SOME REASON THESE ARE IN
0.05%:  SOME REASON I FEEL C
0.05%:  SOME SOCIAL REASONS I
0.18%:  SOME SOCIAL REASONS I CANNOT
0.05%:  SOME REASON I CAN FEEL SO
0.05%:  FOR SOME REASON IT HAS BEEN SO
0.05%:  A HORSE M
0.05%:  FOR MORAL AND
0.05%:  FOR "REASONS" WH
0.05%:  FOR REAL REASONS I CANNOT SH
0.05%:  REASONS WITH
0.05%:  "HORSE D
0.05%:  OTHER REASONS BESIDES MA
0.05%:  CHARITY RE
0.05%:  HORSES ARE SO
0.05%:  FOR SOCIAL REASONS I CANNOT SH
0.05%:  FOR REAL HORSE SENSE
0.05%:  FOR SOME REASON THE SE
0.11%:  FOR SOME REASON THE SECOND
0.05%:  FOR SOME REASON NOT ASS
0.05%:  SOME REASON I NEED HORSES R
0.05%:  A SECRET REASON IN
0.05%:  FO
0.05%:  FOR REASONS I AM NO
0.05%:  MORE REASONS THAN WE CO
0.05%:  FOR REASONS WHY ARE
0.05%:  FOR CHESS REASONS AND RE
0.05%:  FOR SOME REASON I ALWAYS WIN AT H
0.05%:  SOME REASON I NEED HORSES TO B
0.05%:  FOR AWESOME REASONS ONLY HE
0.05%:  FORCES
0.05%:  FOR SOME REASON WHAT I CAN ONLY DESCRIBE AS AWE
0.05%:  SOME LE
0.52%:  SOME LESSONS IN
0.22%:  SOME LESSONS IN C
0.16%:  SOME LESSONS ON
0.15%:  SOME LESSONS IN H
0.12%:  SOME LESSONS IN E
0.05%:  FOR SOME SN
0.05%:  FOR SOME REASON N
0.05%:  SOME HORSE RELATED NE
0.05%:  SOME R
0.05%:  FOR SOME REASON TODAY H
0.10%:  FOR SOME REASON TODAY HAS BEEN A RE
0.08%:  FOR SOME REASON TODAY HAS BEEN RE
0.05%:  SOME REASON I NOW W
0.05%:  FOR SOME REASON HORSES B
0.05%:  SOME REASON THERE WAS AN
0.05%:  FOR NO A
0.05%:  A HORSE EN
0.05%:  FOR A HORSE NAMED "S
0.05%:  ONCE
0.05%:  REASONS TH
0.10%:  REASONS THERE ARE
0.05%:  FOR SOME REASON WAT
0.05%:  FOR A SECRET MISSION AND
0.05%:  FOR ANY N
0.05%:  FOR A CHESS D
0.05%:  FOR MY SECRET HORSE BASE
0.05%:  "LESSONS" ON
0.05%:  FOR ANY REASON BESIDES WHAT WE ARE
0.05%: MY
0.06%: MY HORSES
0.05%:  OTHER REASONS L
0.05%:  OH
0.05%:  DIAR
0.05%:  FOR SOME BASIC REASONS I
0.09%:  FOR SOME BASIC REASONS I CANNOT
0.05%:  CHESS SO
0.05%:  FOR SOME REASON HORSES ACT
0.05%:  FOR SOME REASON THERE WAS A L
0.05%:  MEDICAL REASONS WHAT
0.05%:  SOME CH
0.05%:  MY O
0.13%:  MY OWN SAN
0.07%:  MY OLD
0.05%:  CHESS L
0.05%:  FOR SOME HORSE NE
0.05%:  AWESOME REASONS T
0.05%:  SOME CANDY CAN
0.05%:  FOR HORSES AND M
0.05%:  IDEAS FOR
0.05%:  FOR SOME REASON ONLY I CAN TR
0.05%:  FOR SOME REASON I WAS BORN WITH C
0.05%:  HORSE RELATED REASONS B
0.05%:  SORRY I
0.05%:  FOR SOME REASON THERE I CAN
0.05%:  FOR WHAT REASON I AM NOW
0.05%:  FOR SOME DAN
0.05%:  REAL REASONS I CANNOT SH
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "SOME H
0.05%:  FOR SOME REASON AD
0.05%:  FOR REASONS IT
0.05%:  "REAL" RE
0.05%:  FOR MORE CHESS A
0.05%:  AWESOME REASONS ONLY I CAN D
0.05%:  FOR STABLE REASONS OR
0.05%:  ANSWERS TO
0.05%:  FOR REAL REASONS I NEED TO BE
0.05%:  FOR A REASON AL
0.18%:  FOR A REASON ALREADY IN
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "THE SWE
0.05%:  FOR MY HORSE W
0.05%:  RECORD RE
0.05%:  FOR A HORSE REASON I CANNOT DES
0.05%:  FOR WHAT REASON I CAN ONLY DESCRIBE AS "SOME A
0.05%:  FOR SOME REASON I NEED HORSE SA
0.05%:  MORAL REASONS OF
0.05%:  SOME HORSES ARE C
0.05%:  A HORSE IS
0.05%: REASONS I CANNOT DES
0.05%:  FOR SECRET REASONS AND WH
0.05%:  SOME SECRET REASON OR
0.05%:  ANY REASON I CAN REACH
0.05%:  ANY REASON I CAN REACH FOR
0.05%:  FOR SOME REASON THERE IS A B
0.05%:  FOR SOME AL
0.05%:  SOME RAND
0.05%:  HORSES ARE NOT
0.05%:  FOR SOME REASON THEY ALREAD
0.05%:  REASONS ALONE
0.05%:  REASONS ALONE CAN
0.05%:  FOR SOME REASON I NEED HORSE A
0.05%:  FOR A REASON ALREADY IN M
0.05%:  FOR SOME REASON DINOS
0.05%:  FOR AWESOME REASONS ALREADY CON
0.05%:  A HORSE RELATED SE
0.19%:  A HORSE RELATED SESSION
0.05%:  FOR REASONS WHAT ARE
0.05%:  SOME LESSONS ON THE
0.05%:  FOR RADICAL NEW
0.05%:  A REL
0.05%:  A RELATED
0.05%:  OTHER REASONS IN F
0.05%:  HORSE MIL
0.05%:  FOR A HORSE NAMED "RO
0.05%:  SECRET REASONS A
0.05%:  FOR SOME REASON THIS BE
0.05%:  FOR A SESSION WITH
0.05%:  SOME REASON I CANNOT DESCRIBE R
0.05%:  FOR SOME REASON THIS WAS ONLY A
0.05%:  REASONS I CAN ONLY DESCRIBE AS W
0.05%:  SOME REASON IT FEELS WR
0.05%:  ANOTHER ONE
0.05%:  FOR SOME REASON "RE
0.05%:  LESSONS IN M
0.05%:  FOR SOME REASON REASONS WHAT
0.05%:  SOME REASON FOR WH
0.05%:  FOR SOME ANAL
0.05%:  FOR SOME HORSEY ST
0.05%:  OTHER REASONS 
0.05%:  AWESOME A
0.05%:  FOR HORSE REASONS O
0.05%:  FOR A HORSE NAMED ST
0.05%:  SOME ONE
0.05%:  FOR SOME REASON I CANNOT CLA
0.05%:  FOR SOME REASON I CAN B
1.66%:  FOR SOME REASON I CAN BARELY CON
0.63%:  FOR SOME REASON I CAN BARELY CONT
0.20%:  FOR SOME REASON I CAN BARELY DES
0.06%:  FOR SOME REASON I CAN BARELY ST
0.05%:  SECRET REASONS I AM
0.05%:  CHEESE B
0.05%:  FOR REAL REASONS I CANNOT DES
0.05%:  FOR MORE REASONS THAN I CAN EASILY DE
0.05%:  FOR SOME REASON A HORSE ST
0.05%:  MORAL REASONS WHAT
0.05%:  FOR SOME REASON THE N
0.05%:  AWESOME REAL
0.05%:  FOR SOME REASON HORSES TA
0.05%:  FOR A REASON WHERE
0.05%:  FOR SOME REASON THIS IS ONLY A
0.05%:  FOR SOME REASON YET
0.05%:  FOR HORSE REAL
0.05%:  OTHER REASONS BESIDES F
0.05%:  SOME REASON REAL HORSES CAN BE CON
0.05%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "A WH
0.05%:  FAM
0.05%:  FOR A REASON I CAN NE
0.05%:  FOR AWESOME REASONS WHAT
0.05%:  AWESOME SA
0.05%:  MORE REASONS THAN I CAN ALREADY S
0.05%:  SA
0.05%:  FOR SOME REASON BEYOND WHAT I CAN E
0.05%:  SECRET REASONS I WON
0.05%:  FOR SOME REASON I ALREADY H
0.05%:  HORSES I
0.05%:  ANOTHER REASON ABO
0.05%:  FOR SOME WEIRD REASON I B
0.05%:  CHESS ASS
0.05%:  SOME REASON IN THIS
0.05%:  FOR SOME REASON I NEED A HORSE LI
0.05%:  SOME REASON HORSES LI
0.05%:  REASONS I CANNOT FOR
0.05%:  FOR SOME REASON IT SAYS "
0.05%:  A REASON OR
0.05%:  SOME WEIRD REASON I FE
0.05%:  ORDERLY
0.05%:  FOR REAL AND ACT
0.05%:  FOR A HORSE AND C
0.05%:  MORE CHEAT
0.05%:  AWESOME REASONS I CAN NOT SH
0.05%:  AN ENTIRE D
0.05%:  FOR SOME REASON I NEED HORSE BAL
0.05%:  FOR SOME REASON WHAT NO
0.05%:  SECRET HORSE REASONS ON
0.05%:  FOR SOME REASON THOSE RE
0.05%:  A HORSE RELATED SER
0.05%:  SOME REASON TODAY ON
0.05%:  FOR SOME HORSE L
0.05%:  ONE MO
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "AWESOME WH
0.05%:  LESSONS IN ETH
0.05%:  FOR WHAT REASON AM
0.05%:  FOR SOME REASON THEY SE
0.05%:  FOR SOME REASON THESE D
0.05%:  LESSONS IN HORSE R
0.06%:  LESSONS IN HORSE RAC
0.05%:  MORE REASONS THAN I CAN DEL
0.05%:  SOME SWE
0.05%:  AWESOME REASONS I CAN NE
0.05%:  NO REAL REASON OTHER
0.05%:  SOME HORSE INS
0.05%:  FOR MORE REASONS THAN I CAN EASE
0.05%:  FOR A RID
0.05%:  HORSE ACTION
0.05%:  REF
0.05%:  SOME REASON I NEED TO LO
0.05%:  MEDICAL REASONS A
0.05%:  A SECRET REASON WH
0.05%:  FOR SOME REASON WIL
0.05%:  FOR ANSWER
0.05%:  REASONS BEYOND O
0.05%:  FOR MY SECRET HORSE A
0.05%:  MORE REASONS THEN
0.05%:  FOR SOME REASON I CANNOT DESCRIBE AL
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS "SW
0.05%:  SOMEONE WHO CAN
0.05%:  RAW
0.05%:  FOR MID
0.05%:  FOR SOME WEIRD REASON WHEN
0.05%:  A CHESS LESSON FOR
0.05%:  LESSONS OR WH
0.05%:  AWESOME REASONS I DARE NOT S
0.05%:  FOR SOME REASON THEY ARE CON
0.05%:  FOR SOME REASON NOT S
0.05%:  FOR MONE
0.05%:  FOR SOME REASON THEY ARE SO
0.05%:  FOR MORE REASONS THAN CAN BE SAID A
0.05%:  SOME REASON I CANNOT DIS
0.05%:  FOR NO REASON I CAN T
0.05%:  FOR MY SECRET HORSE SEL
0.05%:  SOME REASON I CAN FEEL THIS NE
0.05%:  FOR A REASON I CAN ONLY DESCRIBE AS TO
0.05%:  MORE E
0.05%:  FOR BREED
0.05%:  SOME REASON LI
0.05%:  SOME REASON INSIDE OF
0.05%:  FOR SOME REASON I WAS BORN WITH A S
0.05%:  SOME LESSONS A
0.05%:  FOR CHESS RELATED REASONS B
0.05%:  A HORSE RELATED REASON OF MY OWN C
0.05%:  FOR SOME HORSE LO
0.05%:  FOR SOME REASON THERE IS A CON
0.05%:  HORSE RELATED S
0.05%:  SOME EASY WINN
0.05%:  ANY REASON I TH
0.05%:  FOR SOME HORSE ERO
0.05%:  FOR MY SECRET HORSE LESS
0.05%:  FOR SOME REASON WHEN I SAY IT
0.05%:  FOR SOME REASON THIS WAS AN E
0.05%:  FORMS
0.05%:  FOR SOME REASON I WAS RE
0.05%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "HATE
0.05%:  HORSE RELATED REASONS OF ONE
0.05%:  FOR SECRET D
0.05%:  A HORSE RELATED F
