hah! You sure do love your chips, JODIE FOSTER!
      0 100.00%: 
      1 234.54%:  h
   4040 7.14%:  hah! Dude! You sure I
   4041 7.13%:  hah! Ooooh! I love
   4042 7.13%:  hah, YES! Do I!
   4043 7.13%:  hah, Dude! Yep! This
   4044 7.11%:  hah, sure do! YES! I love chips
   4045 7.11%:  hah! Oh, yes! I sure DO
   4046 7.11%:  hah, YES! They sure do!
   4047 7.09%:  hah! Yo
   4048 12.43%:  hah! Yo, I
   4049 7.96%:  hah! Yo, I do
   4050 7.09%:  hah, sure do! YES! I D
   4051 7.08%: ! Yep! I sure do, sir
   4052 7.08%: , Y
   4053 68.46%: , YES!
   4054 77.21%: , YES! I
   4055 79.52%: , YES! I have
   4056 29.88%: , YES! I do
   4057 27.88%: , YES! I do have
   4058 27.83%: , YES! I do! They
   4059 26.45%: , YES I
   4060 79.77%: , YES I DO!!
   4061 37.62%: , YES I DO! They
   4062 26.45%: , YES! I DO
   4063 26.22%: , YES! They
   4064 15.48%: , YES! I have so
   4065 12.48%: , YES! I do! They are
   4066 11.62%: , YES I DO! They are
   4067 10.76%: , YES! I had
   4068 10.29%: , YES! I have chips
   4069 8.25%: , YES I DO! T
   4070 8.09%: , YES! I have T
   4071 8.05%: , YES I DO! E
   4072 7.31%: , YES! They are
   4073 7.19%: , YES! I do! They are so
   4074 7.07%:  hah! YES, sirs
   4075 45.34%:  hah! YES, sirs! I
   4076 49.94%:  hah! YES, sirs! I do
   4077 22.63%:  hah! YES, sirs! I DO
   4078 8.71%:  hah! YES, sirs! They
   4079 7.07%: ! Yep! I do, sir
   4080 7.07%: , I DO
   4081 7.07%:  hah, sure do! Yep! I S
   4082 7.06%:  hah! Yes I do! Oh you
   4083 7.05%:  hah! Oh sure do! I love you
   4084 7.05%: ! I sure do, h
   4085 97.16%: ! I sure do, hah!
   4086 14.81%: ! I sure do, hah! They
   4087 7.05%: ! I sure hope so! Do
   4088 7.05%:  hah, oh I sure do! Do
   4089 7.04%:  hah! Yep! I do, so you
   4090 7.04%:  hah, Yep!!
   4091 7.04%:  hah, do I ever! Oh!
   4092 7.04%:  hah! So I
   4093 9.14%:  hah! So I do,
   4094 7.16%:  hah! So I do! They
   4095 7.04%:  hah, uh I
   4096 7.03%: , yes I do! You are
   4097 7.03%: ! I sure do! Oh, are
   4098 7.02%:  hah! Ooh! Yes, yes
   4099 17.15%:  hah! Ooh! Yes, yes I DO
   4100 7.02%:  hah, yes I do! Yep! Ooh
   4101 7.02%:  hah! Sorry! Those
   4102 7.02%:  hah! Sure do! I love you, so
   4103 7.01%:  hah, you sure do! I D
   4104 7.01%:  hah! Oooh! I do love
   4105 7.00%:  hah! Oh, YES! I love
   4106 7.00%:  hah, I sure hope so! You do
   4107 7.00%:  hah, hey! I DO
   4108 7.00%:  hah, yes! Yep! Oh
   4109 6.99%:  hah! Yes I do! Do your
   4110 6.99%:  hah! Sure do, sir! I DO
   4111 6.99%:  hah! Yup! I do, yes
   4112 6.99%:  hah! Oooh, yes I do! You sure
   4113 6.98%: , I do! You
   4114 6.98%:  hah! Ooops
   4115 35.70%:  hah! Ooops! I
   4116 8.02%:  hah! Ooops! They
   4117 6.98%:  hah! Sure do! The cup
   4118 6.98%:  hah! Oh, sorry! I S
   4119 6.98%:  hah! Yup! I DO,
   4120 6.98%:  hah! Oooooh, YES! I J
   4121 6.96%:  hah! YES! Oh, yes I DO
   4122 6.96%:  hah, uh sure
   4123 47.54%:  hah, uh sure do! I
   4124 11.09%:  hah, uh sure do I
   4125 10.24%:  hah, uh sure do!!
   4126 7.39%:  hah, uh sure!
   4127 7.29%:  hah, uh sure do! You
   4128 6.96%: ! YES, sir
   4129 38.81%: ! YES, sir! I
   4130 67.16%: ! YES, sir! I have
   4131 50.67%: ! YES, sir! I do
   4132 28.39%: ! YES, sir! I do have
   4133 20.14%: ! YES, sir! I DO
   4134 10.34%: ! YES, sir! They
   4135 8.27%: ! YES, sir! They are
   4136 8.03%: ! YES, sir! I have T
   4137 6.96%:  hah! Sure do! Eh, I
   4138 6.95%: ! YES! I have,
   4139 6.95%:  hah, sure do! Yep! Oooh I
   4140 6.95%:  hah! I sure hope so, Sco
   4141 6.94%:  hah! Oooh! Did
   4142 12.72%:  hah! Oooh! Did I
   4143 10.79%:  hah! Oooh! Did you see
   4144 7.80%:  hah! Oooh! Did I ever
   4145 6.94%:  hah, hey! I sure do! Do
   4146 6.94%:  hah! Yes, yes! Do
   4147 6.94%:  hah, sure do! YES! E
   4148 6.93%:  hah! Oooh yes I
   4149 26.28%:  hah! Oooh yes I do,
   4150 11.19%:  hah! Oooh yes I do! You
   4151 7.46%:  hah! Oooh yes I do! Yes
   4152 9.39%:  hah! Oooh yes I do! Yes,
   4153 6.93%:  hah, I love chips
   4154 6.93%:  hah! Yes! I sure DO,
   4155 6.91%:  hah! You sure I do, e
   4156 6.91%:  hah! Yes, I do! The s
   4157 6.90%:  hah! YES, sir! Do you see
   4158 6.89%:  hah, I DO! Yep
   4159 15.34%:  hah, I DO! Yep! They
   4160 6.88%:  hah! You sure I do! They
   4161 6.87%:  hah, YES I DO!! They sure
   4162 6.87%:  hah! Yes I do, oh you
   4163 6.87%:  hah! Yep I do! The
   4164 6.86%:  hah, yup! I do! Y
   4165 10.12%:  hah, yup! I do! YES
   4166 6.86%: ! I sure do! The chips,
   4167 6.85%:  hah! Oooh! So you
   4168 6.85%:  hah, I do! Yes sir
   4169 6.84%:  hah! Yep, h
   4170 6.84%:  hah, yup! Oh
   4171 6.84%:  hah, yep! Sure do! I DO
   4172 6.83%:  hah! Sure do! You,
   4173 6.83%:  hah! Yep, do
   4174 15.61%:  hah! Yep, do I
   4175 8.43%:  hah! Yep, do I E
   4176 7.40%:  hah! Yep, do I!
   4177 6.83%:  hah, Dude! Sorry
   4178 6.83%:  hah! Yes I do! For 
   4179 6.82%:  hah! YES, DORI
   4180 6.82%: ! I do, yes! This
   4181 6.82%:  hah, yes! YES! I RE
   4182 6.81%:  hah! Yep! I sure do, so you
   4183 6.81%: ! Yeah, I do! For
   4184 6.80%:  hah! Yes, I DO! Oh yes
   4185 6.80%: ! YES! I love you,
   4186 6.79%:  hah! Dude! SO R
   4187 6.79%:  hah, sorry! D
   4188 26.66%:  hah, sorry! Dude! You
   4189 25.94%:  hah, sorry! Dude! This
   4190 13.89%:  hah, sorry! Dude! The
   4191 11.87%:  hah, sorry! Dude! I J
   4192 11.65%:  hah, sorry! Dude! I love
   4193 8.48%:  hah, sorry! Dude! I T
   4194 6.79%:  hah, yep! Oh!
   4195 6.79%:  hah! Yes, I do! For T
   4196 6.78%:  hah, sure you do! I love
   4197 6.78%:  hah, sure do! YE
   4198 6.78%:  hah, sure! Sure! I
   4199 6.77%:  hah! FRIES,
   4200 6.77%:  hah! Fooled you, I
   4201 6.77%:  hah, sure! Yes I DO
   4202 6.77%:  hah! YES, sir! T
   4203 6.76%:  hah! Oh, I do! O
   4204 6.76%: ! Oh, I sure do! Oh
   4205 6.76%:  hah, yep! Yes sir! I DO
   4206 6.76%:  hah! YES, oh yes! I love
   4207 6.75%:  hah! Sure do! Oh, yes
   4208 6.75%:  hah! You sure love your chips, T
   4209 6.74%:  hah! I do, sir! For
   4210 6.74%: ! Dude! This IS
   4211 10.51%: ! Dude! This IS a
   4212 6.73%:  hah! YES! Oh, do
   4213 15.91%:  hah! YES! Oh, do I
   4214 6.72%: ! Yes I do, yes!
   4215 6.70%:  hah! Dude, YES I J
   4216 6.70%:  hah! Oooh! YES I DO, yes
   4217 6.70%:  hah, Dude! YES! I love you so
   4218 6.70%:  hah, sure do!! You sure
   4219 6.70%: ! Oh yeah
   4220 25.67%: ! Oh yeah! I
   4221 17.70%: ! Oh yeah! I do
   4222 12.20%: ! Oh yeah! I do,
   4223 9.14%: ! Oh yeah,
   4224 21.14%: ! Oh yeah, I do
   4225 10.69%: ! Oh yeah, I sure
   4226 23.93%: ! Oh yeah, I sure do! You
   4227 10.63%: ! Oh yeah, I sure do! This
   4228 8.11%: ! Oh yeah! I sure
   4229 16.38%: ! Oh yeah! I sure do,
   4230 7.23%: ! Oh yeah, I do! You
   4231 6.97%: ! Oh yeah, I sure do! Do
   4232 6.69%:  hah! Oooooh I
   4233 6.69%:  hah! Oh yes! YES I DO, T
   4234 6.68%:  hah, sure! Do I E
   4235 6.67%:  hah, yep! Oh! I
   4236 6.67%: ! Yes I do! Oh, you
   4237 6.67%:  hah! Oh, sorry! You see
   4238 6.67%:  hah! Oooh yes I do! O
   4239 6.66%: ! Sure do! I love chips so
   4240 6.66%:  hah! Yes sir I
   4241 49.41%:  hah! Yes sir I do! They
   4242 18.86%:  hah! Yes sir I do,
   4243 7.35%:  hah! Yes sir I do! The
   4244 6.66%:  hah, sure do! Eh! E
   4245 6.66%:  hah! Yes I do! The sp
   4246 11.94%:  hah! Yes I do! The spicy
   4247 6.66%:  hah! Oh I sure do! Do
   4248 6.64%:  hah! Yes I do! Oh so
   4249 6.64%:  hah! Dude, sorry! I T
   4250 6.64%:  hah! Oooh, yep! I love
   4251 6.64%:  hah, he sure
   4252 6.62%:  hah! Ooh, I love you
   4253 6.62%:  hah! Yep, I surely do! Oh
   4254 6.62%:  hah! Oh, Dude! Y
   4255 32.15%:  hah! Oh, Dude! YES I
   4256 6.62%:  hah! Sure, I sure
   4257 13.62%:  hah! Sure, I sure do! You
   4258 6.62%:  hah, sure do!! I sure DO
   4259 6.60%:  hah! Oooh, sure do! I sure
   4260 6.59%:  hah, sure do! Scooore
   4261 6.59%:  hah! Oh, I sure do! Do you RE
   4262 6.59%:  hah! YES, FRIED TO
   4263 6.59%:  hah! Oooh I do! O
   4264 6.58%:  hah! Yep! I STOOD
   4265 6.58%:  hah, hey! You
   4266 6.58%: , yeah I do! This
   4267 6.58%:  hah, sure do! YES! Do I
   4268 6.58%:  hah! Sure do, sir! Yes
   4269 9.61%:  hah! Sure do, sir! Yes I
   4270 7.80%:  hah! Sure do, sir! Yes I DO
   4271 6.58%:  hah! I do, sir! They sure
   4272 6.57%:  hah! You sure do! I D
   4273 6.57%:  hah! Yes I do! For your chips
   4274 11.83%:  hah! Yes I do! For your chips,
   4275 6.56%: ! Dude! I have chips,
   4276 6.56%:  hah! Yep! I love you, sir
   4277 6.56%:  hah, sure do! Oh yes! You
   4278 6.56%:  hah! YES, yes I d
   4279 6.55%:  hah, sure! I used
   4280 6.55%:  hah! YES, yes I do! The DOR
   4281 6.55%: , I sure do! Oh yeah
   4282 6.55%:  hah, uh sure! I
   4283 6.55%:  hah! Yes, Sir! I sure
   4284 6.54%:  hah, sure do! YES! I sure
   4285 6.54%: ! Yep! Do I
   4286 6.54%:  hah! Sure do! Eh e
   4287 6.53%: , yep! I sure do! Yours
   4288 6.53%:  hah, so sorry
   4289 6.53%: ! I sure do! The chip
   4290 6.53%:  hah! Oooooh! O
   4291 6.53%:  hah, yep! I sure DO! This
   4292 6.52%: ! Yep! I do, yes
   4293 6.51%:  hah! Oh sure do! Do
   4294 6.51%:  hah! Oh, sure do! I sure DO
   4295 6.50%:  hah! You sure do! I love you, h
   4296 6.50%:  hah! Oooh! Do I,
   4297 6.50%:  hah, YEES! I do
   4298 6.50%:  hah! Oh yes! Do I E
   4299 6.50%:  hah, sure do!! You help
   4300 6.50%: ! Yes, sir! I have 
   4301 6.49%:  hah! Oh sure, sure I do! Do
   4302 6.49%:  hah! Sure do! The D
   4303 6.49%: ! I sure do! Ohhh
   4304 7.05%: ! I sure do! Ohhh,
   4305 6.49%:  hah! Sure do! Eh, e
   4306 6.49%:  hah! Sorry, Dude! I use
   4307 6.48%:  hah, yes I do! Yip!
   4308 6.47%:  hah! Oooh, yess
   4309 6.47%:  hah! Yo!
   4310 7.75%:  hah! Yo! I
   4311 6.46%: ! Oh, I sure hope so! You
   4312 6.46%:  hah! Sure, I do! Oh
   4313 6.45%:  hah, yes I do! Yoo
   4314 6.44%:  hah, sure I do! Oh sure!
   4315 6.44%:  hah, I do! You help
   4316 6.44%:  hah, Dude!! They
   4317 6.43%: ! Yep! I hid
   4318 6.43%:  hah! I do, yes sir
   4319 6.43%:  hah! Yes, I do! The DOR
   4320 6.43%:  hah, uh! Yes
   4321 13.32%:  hah, uh! Yes! I
   4322 16.25%:  hah, uh! Yes! I do
   4323 6.43%:  hah! You sure do! Oh yes
   4324 8.13%:  hah! You sure do! Oh yes,
   4325 12.26%:  hah! You sure do! Oh yes, I
   4326 6.42%:  hah! YES, sir! Try
   4327 6.42%:  hah! I hope so, D
   4328 6.40%: ! Yes, you
   4329 12.19%: ! Yes, you do! I
   4330 7.65%: ! Yes, you do! I have
   4331 6.40%: , yep! You should
   4332 6.39%:  hah! I sure hope you do! Or
   4333 6.39%:  hah! Yes I DO, Sir
   4334 6.39%:  hah! Yes! I, er
   4335 6.39%:  hah! Ooo! I do,
   4336 6.39%: ! Yep! I sure do, you
   4337 6.38%:  hah! YES! I love you D
   4338 6.38%:  hah! I sure DO! Oh, you
   4339 6.38%: ! YES, I do! Do
   4340 6.38%:  hah, I DO! Yes! They
   4341 6.38%: ! YES! This
   4342 6.37%:  hah! YES! I sure do, e
   4343 6.37%:  hah, sure! I DO! They
   4344 6.36%: ! Yep! I had so
   4345 6.35%: ! Yes, yes I do! Ohhh
   4346 6.35%:  hah! YES! Do I ever,
   4347 6.34%:  hah! Oh, so close
   4348 8.63%:  hah! Oh, so close! I
   4349 6.33%:  hah! YES, sir! I REF
   4350 6.33%:  hah, YES!! I love you
   4351 6.33%:  hah, you sure do! I J
   4352 6.33%:  hah, you sure do! I love chips! You
   4353 6.32%:  hah! Yes, you DO
   4354 6.32%:  hah! Oooh yes! I sure
   4355 11.01%:  hah! Oooh yes! I sure do,
   4356 6.32%:  hah, yep I do! This
   4357 6.31%: ! Yep, I do! This
   4358 6.31%:  hah, YES I DO! Oooh o
   4359 6.30%:  hah, oh sure! You
   4360 6.30%: , yes! Yes!
   4361 6.89%: , yes! Yes! I
   4362 6.97%: , yes! Yes! I do
   4363 6.29%:  hah! YES, Dude! I hope
   4364 6.28%:  hah, sure sure!!
   4365 6.28%: ! YES! I had so
   4366 6.28%:  hah, sure do!! Do I E
   4367 6.27%:  hah! Dude! This s
   4368 6.27%:  hah, sure do! YES! Oh yes
   4369 6.27%:  hah! I do! Do you love
   4370 6.26%:  hah! Sure I DO
   4371 6.72%:  hah! Sure I DO! They
   4372 6.26%:  hah! Sure! The
   4373 6.26%:  hah, yes sir! Do I
   4374 6.26%:  hah, sure do! Scores
   4375 6.26%:  hah, yup! Yours
   4376 6.26%:  hah, YES I do!! They
   4377 6.26%:  hah, I do! Yours
   4378 6.25%: , yeah I do! Do
   4379 6.25%:  hah! Oooooh, YES! I sure DO
   4380 6.24%:  hah, yes I do! The s
   4381 6.24%:  hah! Oooh! Sp
   4382 32.33%:  hah! Oooh! Spoilers
   4383 16.14%:  hah! Oooh! Spoilers,
   4384 6.24%:  hah, YES!! I J
   4385 6.24%:  hah! Oooh! I see
   4386 6.24%:  hah! Oh, I love you! You
   4387 6.23%:  hah! Sure, sure! I DO
   4388 6.23%:  hah! Oooh yes, I do! Yes
   4389 6.23%:  hah! Yes, oh yes! Do
   4390 6.23%:  hah! I sure do! Oh sure, T
   4391 6.23%: ! Yep! I have,
   4392 6.23%:  hah, sure I do! Yup
   4393 7.11%:  hah, sure I do! Yup! They
   4394 6.23%:  hah, YES! Oh yes! I sure
   4395 6.22%:  hah, sure do! Yep! Oooh o
   4396 6.22%: ! Yes, I do! For you are
   4397 6.22%:  hah, sure do! Dish
   4398 6.22%:  hah! Dude, your lips
   4399 6.22%:  hah! Oh I do, yes
   4400 6.22%:  hah! I DO, h
   4401 6.21%:  hah! Sorry! These
   4402 6.21%:  hah, sure! I do! Do
   4403 6.21%:  hah, yep! I sure do! Yooh
   4404 6.21%:  hah! Dude! I love chips so
   4405 6.21%:  hah, yep I do! The
   4406 6.20%:  hah! Fooled you! I DRO
   4407 6.20%: ! Yep! I sure do, D
   4408 6.20%:  hah! Oh, do you see
   4409 6.19%:  hah, yup! I hid
   4410 6.19%:  hah, yep! I sure do! YES O
   4411 6.19%:  hah! Yes! I do, so you
   4412 6.18%:  hah! Oh, sorry! I lied
   4413 6.18%:  hah! Oooh, yep! I sure DO
   4414 6.17%:  hah, I do! You see
   4415 6.17%:  hah, yep!! This
   4416 6.17%: ! YES, sir! I have so
   4417 6.17%:  hah! You sure do! I J
   4418 6.16%:  hah! Dude, YES! Oh yes
   4419 6.16%: ! I do! The
   4420 6.16%:  hah, sure do! The cup is
   4421 6.15%:  hah! I do, so Y
   4422 6.94%:  hah! I do, so YES! They
   4423 6.15%:  hah! Oooh yes, I sure
   4424 13.82%:  hah! Oooh yes, I sure do! You
   4425 6.15%:  hah! I sure do! You sure DOES
   4426 6.14%:  hah! I love you T
   4427 6.14%:  hah, oh yes I do! For
   4428 6.13%:  hah, yes I do! Oh so
   4429 6.13%: ! They sure
   4430 6.13%: , yep! I do! Do
   4431 6.13%: ! Yep! I love you, D
   4432 6.12%:  hah! YES! I love chips, yes
   4433 6.12%: ! Sure do, sir
   4434 12.88%: ! Sure do, sir! I
   4435 12.02%: ! Sure do, sir! I have
   4436 10.21%: ! Sure do, sir! They
   4437 6.12%:  hah! Yes, sir! I DO O
   4438 6.12%:  hah! Yes, yes I do! For E
   4439 6.11%: ! Yes, I do! Do you also
   4440 6.11%:  hah! YES, you do! I DO
   4441 6.11%: , I do! Do
   4442 6.11%:  hah! Dude! I hope so, or you
   4443 6.10%:  hah, he does
   4444 6.10%:  hah! Oh, YES! I J
   4445 6.10%: , yes I do! Yes!
   4446 6.10%:  hah! Yep! I DO, sir
   4447 6.10%:  hah! Sure do, you sc
   4448 6.10%:  hah! Yes, sir! They do
   4449 6.10%:  hah! YES, DRO
   4450 6.10%:  hah, sure do! Scooops
   4451 6.10%: , sure do!! I have
   4452 6.10%:  hah, I sure hope you DO!!
   4453 6.10%:  hah! Yes, I do! Oh you
   4454 6.09%:  hah! Oh sure do I! Do
   4455 6.09%:  hah, Dude! I love your
   4456 6.08%:  hah! YES! Do I,
   4457 6.08%:  hah! Oh, you sure do! You
   4458 6.08%:  hah! Oh yes, sir! Do
   4459 8.74%:  hah! Oh yes, sir! Do I
   4460 8.86%:  hah! Oh yes, sir! Do I E
   4461 6.08%: , YES I DO! J
   4462 6.08%:  hah! Yep! Oh, so
   4463 6.08%:  hah, sure do you!! I
   4464 6.07%: ! YES, I do! This
   4465 6.07%:  hah! Oops! I sure
   4466 6.07%:  hah! Oops! I sure do,
   4467 6.07%:  hah! Ooh o
   4468 6.06%:  hah! Oooh, YES! Do
   4469 6.06%:  hah! Oh yes! YES, I J
   4470 6.06%:  hah, sure do you! I sure
   4471 6.05%:  hah, I hope you do!!
   4472 6.05%:  hah! Ooh! Yes I do, sir
   4473 6.05%:  hah! Oooh, yes! You sure
   4474 6.05%:  hah! YES, JER
   4475 6.05%:  hah, sure do! YES! D
   4476 6.05%:  hah! Oh, sure do! Sure
   4477 6.04%:  hah! I hope so, yes
   4478 6.04%:  hah, you sure do! This IS
   4479 6.03%:  hah, oh! I sure
   4480 6.95%:  hah, oh! I sure do! You
   4481 6.03%:  hah! YES! I sure hope so, or you
   4482 6.03%: ! Sure! I have
   4483 6.03%:  hah! YES I do, sir
   4484 6.63%:  hah! YES I do, sir! They
   4485 6.02%:  hah! Yes, I do! Do your
   4486 6.02%:  hah, sure do! Oh! I love you so
   4487 6.01%:  hah! Yep! Told
   4488 50.42%:  hah! Yep! Told you so
   4489 13.97%:  hah! Yep! Told you so,
   4490 6.01%: ! Dude, you sure
   4491 6.01%:  hah, yup! I should
   4492 6.01%:  hah, oh! I do
   4493 6.01%: ! Sure do, you
   4494 6.01%:  hah! Oooh! I sure do, e
   4495 6.00%:  hah, YEES! I DO
   4496 6.00%:  hah, sure do! I sure DOES
   4497 6.00%:  hah! I sure do, you S
   4498 6.00%:  hah! Oooh! I see you
   4499 5.99%:  hah! Oh sure I do! E
   4500 5.99%:  hah! Sure do! I love chip
   4501 5.99%: ! I do! This
   4502 5.99%:  hah! Ooooh, do
   4503 18.75%:  hah! Ooooh, do I!
   4504 17.92%:  hah! Ooooh, do I E
   4505 5.99%:  hah! I love you, sir
   4506 5.98%:  hah! YES I DO! Ooh, o
   4507 5.98%:  hah! Yep, I surely do! Do
   4508 5.98%:  hah! YES, yes I do! The cup
   4509 5.98%:  hah! Yes I sure DO
   4510 5.97%:  hah, sure do! YES! I RE
   4511 5.97%:  hah, I do! Yes! Do
   4512 5.97%: ! Yeah I
   4513 57.41%: ! Yeah I do! They
   4514 27.71%: ! Yeah I do,
   4515 5.97%: , I sure do! Do you also
   4516 5.97%:  hah! Yes I Do
   4517 5.96%: , yep! You sure
   4518 7.46%: , yep! You sure do! I
   4519 5.96%:  hah, yep I do! YES
   4520 5.96%: ! YES I DO, R
   4521 5.95%:  hah! Do you see
   4522 5.95%: ! I sure do! Do you,
   4523 5.94%: ! I said
   4524 5.94%:  hah, sure! S
   4525 5.94%:  hah! YES! Oh, I love your
   4526 5.94%:  hah! YES, you dope! I J
   4527 5.93%:  hah! Sure do! I love T
   4528 5.93%:  hah! Dude! Yep,
   4529 5.93%:  hah! I do! For you see, T
   4530 5.93%:  hah! YES, you sure
   4531 30.27%:  hah! YES, you sure do! I
   4532 5.92%:  hah, sure do! Yours! I
   4533 5.92%:  hah! Dude, sure! You
   4534 5.92%:  hah! Yes I do, so help
   4535 5.92%:  hah, Dude!! You
   4536 5.92%:  hah! YES, sir! I hope so
   4537 5.92%: , yeah! You
   4538 5.91%: , YES I DO!! They
   4539 5.91%:  hah! I sure do, you per
   4540 5.91%: ! Yep! Oh
   4541 8.76%: ! Yep! Oh, I
   4542 5.91%: , yeah! I sure do! Do
   4543 5.91%: ! Sure! They
   4544 5.90%:  hah! YES I DO, OT
   4545 5.90%:  hah! I DO, yes! Yes
   4546 5.89%:  hah, yes! I do! You help
   4547 5.89%:  hah! Oooh yes, I do! O
   4548 5.89%:  hah, sure do! YES! This
   4549 5.89%: ! Yes I do! Do you care
   4550 5.88%:  hah, yes I do!! Yours
   4551 5.88%:  hah! Yep I sure do, you
   4552 5.87%:  hah yes! I love
   4553 6.04%:  hah yes! I love chips
   4554 5.87%:  hah! Dude, sorry I
   4555 5.87%:  hah, yep! You should T
   4556 5.87%:  hah! Oooooh! YES, F
   4557 5.86%:  hah! Yep, sure do! This IS
   4558 5.86%:  hah, Dude! Too
   4559 5.86%:  hah, yes! I do! For SO
   4560 5.86%: ah
   4561 14.02%: ah!
   4562 11.28%: ah, I
   4563 158.32%: ah, I sure do! They
   4564 84.82%: ah, I sure do!!
   4565 25.88%: ah, I sure do! You
   4566 15.08%: ah, I sure do! The
   4567 14.89%: ah, I sure do! This
   4568 14.69%: ah, I sure do!! They
   4569 12.13%: ah, I do
   4570 16.61%: ah, I do!
   4571 9.20%: ah, I sure do! Do
   4572 9.06%: ah, I sure do! Oh
   4573 8.87%: ah! I
   4574 12.02%: ah! I sure
   4575 76.95%: ah! I sure do! They
   4576 52.28%: ah! I sure do,
   4577 11.41%: ah! I sure do! You
   4578 9.77%: ah! I do
   4579 11.02%: ah! I do!
   4580 8.42%: ah, I sure do! The chips
   4581 7.50%: ah! I do,
   4582 7.05%: ah! I sure do! The
   4583 6.19%: ah, yes
   4584 24.09%: ah, yes! I
   4585 19.38%: ah, yes! I do
   4586 6.15%: ah! I sure do! This
   4587 6.08%: ah, I do! They
   4588 5.89%: ah, yes! Yes
   4589 9.23%: ah, yes! Yes I DO
   4590 8.76%: ah, yes! Yes I do! Oh
   4591 7.02%: ah, yes! Yes I do! Do
   4592 5.85%:  hah! Oooh! YES I DO, sir
   4593 5.85%: ! Yes, I sure do! Oh
   4594 5.85%: ! You sure do, D
   4595 5.85%:  hah! Oh, sorry! I do
   4596 5.85%:  hah, yes! YES I DO! TOR
   4597 5.85%:  hah, oh you
   4598 5.85%:  hah, Dude! I hope
   4599 11.49%:  hah, Dude! I hope so
   4600 5.85%:  hah, sure do!! I S
   4601 5.84%: , yep! I said
   4602 5.84%:  hah! Yes I do, so!
   4603 5.84%:  hah! Sure! Do
   4604 5.84%:  hah! YES, yes I do! Oh so
   4605 5.83%:  hah, yes! YES! E
   4606 5.83%:  hah! YES! I do, yes sir
   4607 5.83%:  hah! Yes! Oh, do
   4608 12.23%:  hah! Yes! Oh, do I
   4609 5.82%:  hah! Oh, sure! I love
   4610 5.82%:  hah! Oh! Yes
   4611 6.60%:  hah! Oh! Yes,
   4612 5.82%:  hah! Dude, you sure I
   4613 5.82%:  hah! I sure do! The DY
   4614 5.82%: , yeah! I sure do! This
   4615 5.82%:  hah! Oh sure, I do! E
   4616 5.81%:  hah! Fooled you! I TRY
   4617 5.81%:  hah! Yes I do! Oh, your
   4618 5.81%: , you sure
   4619 20.50%: , you sure do! I
   4620 8.34%: , you sure do! I have
   4621 5.81%:  hah! Yes sir, I do! The D
   4622 5.81%:  hah! Oooh! YES I DO, E
   4623 5.81%: ! Sure do! I have chips,
   4624 5.81%:  hah! YES, yes I do! The p
   4625 5.80%:  hah yes! I DO
   4626 5.80%:  hah! I do, yes! You help
   4627 5.80%:  hah! Dude! I love you so so
   4628 5.80%:  hah! Yes, I do! Oh so
   4629 5.79%:  hah! Oh sure do! Do I
   4630 5.86%:  hah! Oh sure do! Do I E
   4631 5.79%:  hah, FRIEDO
   4632 5.79%:  hah! I sure do, you sch
   4633 5.79%:  hah, yup!! I
   4634 5.79%:  hah! Ouch! You
   4635 5.78%:  hah, do you see
   4636 5.78%:  hah! YES! I hope so, or you
   4637 5.77%:  hah! YES! I hope you RE
   4638 5.77%:  hah! Toss
   4639 5.77%:  hah! You sure do, eh T
   4640 5.77%:  hah! Yes, yes! Oh
   4641 5.76%: ! I sure do! Oh ho
   4642 26.08%: ! I sure do! Oh ho ho,
   4643 5.76%:  hah, uh! Sure
   4644 39.86%:  hah, uh! Sure do! I
   4645 6.55%:  hah, uh! Sure do! You
   4646 5.76%:  hah, do I h
   4647 5.76%:  hah! Told you! You
   4648 5.75%:  hah! I sure do! Oh, you love
   4649 5.75%: , I sure do! Do you love
   4650 5.75%:  hah! YES! I, FOR
   4651 5.75%:  hah! I do, sir! You see
   4652 5.74%:  hah! Ooh! Yes I DO
   4653 5.74%:  hah! Yep! Told you so, h
   4654 5.74%:  hah! Ooh! Do
   4655 9.84%:  hah! Ooh! Do I
   4656 5.74%: , I sure hope so! Do
   4657 5.74%: ! These
   4658 5.77%: ! These chips
   4659 5.73%:  hah, I sure do! You sure DOES
   4660 5.73%:  hah! Sure do I! The
   4661 5.73%:  hah! Sure do! I hope you DO,
   4662 5.73%:  hah! Ooooh! You
