spend another decade making it so it can say other stuff too, okay?
41.67%:  go
1.15%:  send him out to see
1.15%:  take it out for a test spin, and
1.15%:  go out to
6.94%:  go out to dinner and
1.47%:  go out to dinner and make
1.45%:  go out to eat
1.36%:  go out to dinner,
1.15%:  kiss and make out inside
1.14%:  go take him out for a nice steak
1.14%:  take him out for food and see
1.14%:  see if that counts as a good time spent, okay
1.14%:  go kick the crap out of today
1.14%:  not spend another day of our time
1.14%:  kick the crap out of it, and
1.14%:  go take him apart and use
1.14%:  get another friend and make a
1.14%:  go take it for a spin and
1.31%:  go take it for a spin and then
1.18%:  go take it for a spin and see
1.14%:  go to the store and see
1.14%:  take it out for a spin and see if the
1.14%:  go make another one,
1.14%:  go take him out to a fancy
3.03%:  go take him out to a fancy dinner
1.14%:  not forget that you can
1.14%:  find out if he can say
1.35%:  find out if he can say more
1.14%:  go inside him for a second,
1.34%:  go inside him for a second, okay
1.14%:  keep him around another decade,
2.38%:  keep him around another decade, okay
1.14%:  hang out today and admire
1.14%:  send him to space, dude
1.14%:  kiss and make out, and then go
1.14%:  take it out for a spin and then get
1.47%:  take it out for a spin and then get some
1.37%:  take it out for a spin and then get some food
1.14%:  not make another one of these guys for
1.14%:  take him out for cake today,
1.14%:  go take him out for pasta
1.14%:  keep doing this for another, say
1.14%:  go take him for another spin, you and
1.14%:  take that out for some
1.13%:  go take him for a spin, d
1.13%:  send him to outer space in
1.13%:  go take care
3.35%:  go take care of him,
2.28%:  go take care of some
1.95%:  go take care of that
1.14%:  go take care of him and
1.13%:  take him for a dance
1.13%:  not take him
3.64%:  not take him apart and
2.86%:  not take him apart,
1.86%:  not take him apart and see if
1.63%:  not take him apart to
1.35%:  not take him apart to find
1.13%:  go ride him,
1.13%:  get him to say it one
1.13%:  keep doing this, my
1.13%:  not spend another day making the
1.13%:  not forget to take him out and
1.13%:  go kick the crap out of some tiny
1.13%:  make this our
1.13%:  do this again in another decade or
1.13%:  get some snacks for
1.13%:  get him a paint
1.13%:  hang out after
1.12%:  get him into space
1.12%:  take it out for a test spin, yeah
1.12%:  go to the park and make out on a
1.12%:  get some nachos
1.12%:  take him apart and get to
1.12%:  send him into space for good
1.12%:  keep doing the
1.12%:  not keep
2.49%:  not keep him around
1.86%:  not keep him around too
1.12%:  not spend another second of our time at
1.12%:  go take him out for a date,
1.12%:  take him out to get drinks
1.12%:  take him out for another dance
1.12%:  go do some stuff in his
1.12%:  shake our fists in
1.12%:  take him for a test spin in
1.12%:  go take it out for a spin and make
1.12%:  sit on
1.38%:  sit on him and
1.12%:  update him to say,
1.12%:  hug and
1.12%:  take it out for a spin some day,
1.12%:  add more
1.12%:  not make another one of these, guys
1.12%:  spend another decade making sure that stays on
1.11%:  go for a spin today
1.11%:  go into the forest and find
1.69%:  go into the forest and find some
1.11%:  shake on it, dude
1.11%:  spend another decade making it say,
1.11%:  go take him for a spin today, dude
1.11%:  see if you can top that gross
1.11%:  take it out for a spin, and then come
1.11%:  kiss him on
1.11%:  send him out into space and see if
1.11%:  take it out for a spin and find
1.11%:  not get rid of it,
1.11%:  make out to
1.11%:  make sure he gets to say it,
1.11%:  get him another friend
1.11%:  spend another ten years making those
1.11%:  not fight it, okay
1.11%:  keep doing this for another ten and
1.11%:  spend another decade taking care of him, kay
1.11%:  try to keep this
1.11%:  go and punch
1.11%:  spend another decade making his torso out of tiny
1.11%:  paint him green
1.10%:  not spend another decade making this,
1.10%:  get out of here, my
1.10%:  take some photos of it and
1.46%:  take some photos of it and send
1.10%:  take a minute and think
1.10%:  not spend another minute today
1.10%:  focus on the good parts today
1.10%:  go kick some ass in space
1.10%:  send him to outer space, yes
1.10%:  go touch some
1.10%:  go kick the crap out of any
1.10%:  ask him to do a
1.10%:  go do some stuff inside
1.10%:  take some photos and
1.10%:  update his code to
1.10%:  make sure he can say it
1.10%:  go inside him to
1.10%:  take him out to dinner and say
1.10%:  kiss and make out inside of
1.10%:  spend another decade or so making the
1.10%:  go find another friend and make that
1.10%:  send him off into space to see
1.10%:  focus on that first
1.10%:  head
1.34%:  head out
1.37%:  head out for
2.40%:  head out for some
1.33%:  head out and
1.10%:  get rid of those
1.10%:  make it so he says another
1.10%:  get out of the
1.10%:  take him out for another spin today, and
1.10%:  hang out and modify
1.09%:  not spend another decade making that fucker say
1.09%:  get rid of him,
1.85%:  get rid of him, okay
1.09%:  go inside of him and see
1.09%:  set him free, and
1.09%:  go take him out for a space
1.09%:  go mess around in it
1.09%:  make sure that keeps saying
1.09%:  see if that gets
1.24%:  see if that gets you to stop
1.09%:  not spend another fourth of a
1.09%:  hang out today and do
1.09%:  spend another decade making his torso into
1.09%:  keep doing that for at
1.09%:  take that out for a spin and see if it makes
1.09%:  go put him in another
1.09%:  go kick the crap out of time,
1.09%:  go out and see if he can pick
1.09%:  kiss and make out and do
1.33%:  kiss and make out and do other
1.09%:  not spend another decade making this fucker
1.09%:  take a second and admire
1.09%:  take him and put
1.09%:  spend another ten years doing stuff that
2.89%:  spend another ten years doing stuff that makes
1.08%:  see you do that, mister
1.08%:  fight crime today
1.08%:  take him to dinner
1.08%:  take him for a spin, dude?
1.08%:  not spend another second of this great day of
1.08%:  go for another spin, my dude
1.08%:  stop using the
1.08%:  go to the park and say
1.08%:  spend another ten years making it so it
1.08%:  go take him on a road
1.08%:  go for a spin in that
1.08%:  make it say another phrase
1.37%:  make it say another phrase too
1.08%:  go on another date and
1.08%:  take that sucker to
1.08%:  go kick some ass and dance
1.08%:  not spend another day in
1.08%:  spend another decade or so making it say that,
1.08%:  go take out
1.57%:  go take out some
3.33%:  go take out some trash
1.65%:  go take out some trash,
1.08%:  send him to outer space today,
1.08%:  go take him for a spin and find
1.08%:  put him in a store
1.08%:  go take him out for a spin and do
1.07%:  put it in the
1.07%:  go punch some trees
1.07%:  get out of this room and find
2.63%:  get out of this room and find another
1.07%:  use him to escape
1.07%:  take him out for a steak and
1.07%:  go find another friend that
1.67%:  go find another friend that says
1.07%:  go take it out for a spin and see if he
1.07%:  take him out for another date
1.07%:  say that counts
1.07%:  turn him off and go eat ice
1.07%:  hang out and pat
1.07%:  make sure he gets to say it at
1.07%:  turn him off and get another snack
1.07%:  not spend another day on that sucker
1.07%:  take him out for soda and
1.07%:  go kick around that
1.07%:  add another arm
1.07%:  send him out to find another friend, so
1.07%:  send him off to space,
1.11%:  send him off to space, okay
1.07%:  kiss and make out?
1.07%:  go touch it
1.07%:  take a photo of it and
1.80%:  take a photo of it and send
5.73%:  take a photo of it and send it to our
1.80%:  take a photo of it and send it to our kids
1.06%:  take him out for a nice steak
1.06%:  feed it
1.11%:  feed it some sugar
1.06%:  take him out for a day at
1.06%:  go kick it around
1.06%:  take it out for another spin, hm
1.06%:  kiss and make out a
1.06%:  make sure to keep doing
1.85%:  make sure to keep doing that
1.06%:  turn him off and go take another
1.06%:  say that counts as a good
3.58%:  say that counts as a good time,
2.57%:  say that counts as a good time spent
2.47%:  say that counts as a good time spent,
2.42%:  say that counts as a good time?
1.06%:  open his
1.06%:  go inside him and put
1.06%:  take out
1.06%:  make sure to spend at
1.06%:  not spend another second of this great time
1.06%:  send him to attack our
1.06%:  spend some of
1.06%:  go take this
1.06%:  see if you can get more
1.06%:  send him out to space and forget
1.06%:  find out if he can dance
1.06%:  take him out for a spin, too
1.06%:  see if you can do that too
1.06%:  take him out on a
2.04%:  take him out on a date and
1.39%:  take him out on a date,
1.38%:  take him out on a date, okay
1.06%:  take that out for another
4.44%:  take that out for another spin,
4.00%:  take that out for another spin, okay
1.47%:  take that out for another spin today
1.06%:  go turn him on and see if it
1.06%:  not spend more
1.06%:  take a tour
1.84%:  take a tour of him
1.75%:  take a tour of the
2.44%:  take a tour of the inside
1.05%:  take him out for a day and see if
1.05%:  do this again in another ten years, dude
1.05%:  go kick him around and
1.05%:  go to the park and meet
1.05%:  take it out for a spin today, and see
1.05%:  not spend another decade making his torso
1.05%:  take him out for a date and get
1.05%:  hang out more often, so
1.05%:  see if you can pick that
1.05%:  go kick ass
1.05%:  spend another year making this
1.05%:  go take it out for a spin?
1.05%:  go find him,
1.73%:  go find him, okay
1.05%:  ignore that and
2.61%:  ignore that and focus
1.05%:  take him out and dance
1.05%:  not spend another day on him,
1.05%:  take him out for another test spin today,
1.05%:  take it out for a spin and then make
1.04%:  spend another ten years doing this stuff,
1.04%:  see you top that one, friend
1.04%:  take him out for a nice spin, okay
1.04%:  do that again, okay
1.04%:  not forget that one
1.04%:  take him out for a day on
1.04%:  take it for a test spin and
1.04%:  stop seeing
1.69%:  stop seeing him
1.42%:  stop seeing him for
1.04%:  take him out for a spin if
1.04%:  get him a friend
1.04%:  modify the
1.04%:  make things
1.04%:  not forget that time
1.04%:  put him on skates
1.04%:  not forget to feed the
1.04%:  make another one that goes
1.04%:  go feed him cake
1.04%:  spend another decade making it so he can
1.04%:  get some chips
1.04%:  put him on skates and see
1.04%:  make out again
1.04%:  go take it out for a spin, man
1.04%:  keep doing that for as
1.04%:  go for a spin in my
1.04%:  go into the past and kick some
1.37%:  go into the past and kick some ass
1.04%:  make sure it stays
1.04%:  spend another ten years adding stuff to him, so
1.03%:  send him into space today,
1.03%:  take him out for a spin, yo
1.03%:  try to make the
1.03%:  go make out on
1.49%:  go make out on his face
1.20%:  go make out on the
1.03%:  make another one, and
1.52%:  make another one, and this
1.03%:  take him out for a spin and decide
1.03%:  make sure to spend as
1.03%:  go do stuff,
1.03%:  go punch it
1.03%:  go make another one that
1.03%:  kiss and make out and then fist
1.03%:  make that second
1.03%:  not spend another day of this
1.03%:  make another one of
6.03%:  make another one of those
2.34%:  make another one of these guys
2.25%:  make another one of those,
3.53%:  make another one of those, okay
1.98%:  make another one of these,
2.00%:  make another one of these, okay
1.41%:  make another one of these guys,
1.03%:  take him out for another spin today, and see
1.03%:  go do some stuff in the park today
1.03%:  take him out on dates,
1.36%:  take him out on dates, okay
