even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
   5219 0.06%:  I have to go on this one
   5220 0.04%: . It's gone
   5221 0.04%:  so I haven't got the notes
   5222 0.04%:  that is one he
   5223 0.04%:  so it's not taken
   5224 0.04%:  its
   5225 0.04%:  then that's one
   5226 0.04%:  so I've got this anth
   5227 0.04%:  that one goes to those
   5228 0.04%:  that is one I don
   5229 0.04%:  so the ending has not
   5230 0.04%:  that's nothing I need on
   5231 0.04%:  so that's not done on
   5232 0.04%:  so I've gotta set
   5233 0.04%:  so I don't see the
   5234 0.04%:  so then I'd have
   5235 0.04%:  that's not things
   5236 0.04%: . I have to go do
   5237 0.04%:  so I need to get to 
   5238 0.04%:  so I need those
   5239 0.04%:  that one's not so evident
   5240 0.04%:  that's it then I need
   5241 0.04%:  that one isn't done. It
   5242 0.04%:  that's the sign to
   5243 0.05%:  that's the sign to end
   5244 0.04%:  that's the end. Is it on
   5245 0.04%:  so that's the gen
   5246 0.04%:  that's not the end I go
   5247 0.04%: . It's not the end
   5248 0.04%:  it's done. It
   5249 0.04%:  it's done. It took
   5250 0.04%:  that ends this one.
   5251 0.04%:  I think that's one done.
   5252 0.04%:  that's not end
   5253 0.04%:  it's good that the
   5254 0.04%:  that's not invented
   5255 0.04%:  I need to eat so
   5256 0.04%:  so that's the end I got
   5257 0.04%:  that I think does
   5258 0.04%:  no that's not the end ok
   5259 0.04%:  that's so good I think
   5260 0.04%:  that one isn't too good.
   5261 0.09%:  that one isn't too good. I
   5262 0.04%:  that's not this one I
   5263 0.04%:  I've got to sit on the
   5264 0.04%:  so I have to go.
   5265 0.04%:  no thanks no this
   5266 0.04%:  no that one doesn't go.
   5267 0.04%:  so it ends on that one
   5268 0.04%:  that one's got to end soon.
   5269 0.04%:  so no I haven't gotten this
   5270 0.04%:  that one too needs
   5271 0.04%:  that it the end
   5272 0.06%:  that it the end.
   5273 0.04%:  so I don't have the notes in
   5274 0.04%:  no that one's done.
   5275 0.06%:  no that one's done. I
   5276 0.05%:  no that one's done. I think
   5277 0.04%:  that's not on the kind
   5278 0.04%:  so that's not on the one
   5279 0.04%:  that's done. In
   5280 0.04%:  so that ending took
   5281 0.04%:  no I don't have notes
   5282 0.04%:  no this one's not that good even
   5283 0.04%:  thanks it's 
   5284 0.04%:  that's the non
   5285 0.04%:  does it
   5286 0.04%:  so this one got taken
   5287 0.04%:  that's no good no
   5288 0.04%:  that one doesn't go in so
   5289 0.09%:  that one doesn't go in so I
   5290 0.04%:  to that
   5291 0.04%:  so that one got kind
   5292 0.04%:  I think that one's too good
   5293 0.04%: . I've got to see
   5294 0.04%:  no this one has gone
   5295 0.08%:  no this one has gone on
   5296 0.04%:  that one is not the end
   5297 0.04%:  this one's not on that
   5298 0.04%:  no I've done that
   5299 0.04%:  so that's not on the video
   5300 0.04%:  so that one ends it
   5301 0.04%:  no that one's gone
   5302 0.04%:  so that one's in the oven
   5303 0.04%:  so that one's in the oven.
   5304 0.04%:  that's not shit
   5305 0.04%:  no that is not the one
   5306 0.04%:  that's the end I sign
   5307 0.04%:  so I need this on a
   5308 0.04%:  that's it one
   5309 0.04%:  this has to go
   5310 0.04%:  that's not one on
   5311 0.04%:  that one's no good I
   5312 0.36%:  that one's no good I think
   5313 0.04%:  no that one I need
   5314 0.12%:  no that one I need to think
   5315 0.04%:  so I haven't gotten those 
   5316 0.04%:  that's not it. I don
   5317 0.04%:  so one thing that's not
   5318 0.06%:  so one thing that's not on
   5319 0.04%:  no take
   5320 0.04%:  so not that one is
   5321 0.04%:  so then I need to go to this
   5322 0.04%:  thanks I need to go on this
   5323 0.04%:  that one took in
   5324 0.04%:  it's gotten a
   5325 0.04%:  so that's the ending. In
   5326 0.04%:  so that one's not good. It
   5327 0.04%:  that one is not too
   5328 0.04%:  ok this
   5329 0.04%:  so I've got to sit
   5330 0.04%:  no it doesn't go on
   5331 0.04%:  that's the end so.
   5332 0.04%:  this one's 
   5333 0.04%:  thanks I need this to go to
   5334 0.04%:  have I got it
   5335 0.04%:  no this one had
   5336 0.06%:  no this one had too
   5337 0.04%:  so that's not the kind I
   5338 0.04%:  no it ends
   5339 0.04%:  so it had
   5340 0.04%:  no that's not the end sing
   5341 0.04%:  so on that one the
   5342 0.04%:  so it's not even on
   5343 0.04%:  I need to go set this to
   5344 0.04%:  no that's not the end one I
   5345 0.04%: . I've got to set
   5346 0.08%: . I've got to set this
   5347 0.04%:  no that one needs to
   5348 0.04%:  this one's gone a
   5349 0.04%:  this one goes to 
   5350 0.04%:  so I hadn
   5351 0.20%:  so I hadn't gotten
   5352 0.04%:  so that one got intense
   5353 0.04%:  so I've got that done so
   5354 0.04%:  no this one doesn't get an
   5355 0.04%:  so that one is not too
   5356 0.04%:  no I had
   5357 0.07%:  no I had nothing
   5358 0.04%:  this one's a good one I
   5359 0.04%:  so that's one ending I
   5360 0.04%:  so that's the in
   5361 0.04%:  that's it th
   5362 0.04%:  that one goes to this
   5363 0.04%:  I have to do the
   5364 0.04%:  no that's the ending not
   5365 0.04%:  ok that's not the one
   5366 0.04%: . It's gotten
   5367 0.04%:  no this one doesn't get a
   5368 0.04%:  that's totes one
   5369 0.04%: . I think that does go
   5370 0.04%:  no that's the ending. It
   5371 0.04%:  no this one doesn't have too
   5372 0.04%:  I have to get into
   5373 0.04%:  that's one I get
   5374 0.04%:  so that's one done. I think
   5375 0.04%:  that is the end I've
   5376 0.10%:  that is the end I've got
   5377 0.04%:  goodness.
   5378 0.04%:  this one's not even a
   5379 0.04%:  this one's not even a good
   5380 0.04%:  this one gets the
   5381 0.04%:  no this one takes too
   5382 0.04%:  no I'd
   5383 0.04%:  so I don't have the nin
   5384 0.04%:  I need to think a
   5385 0.04%:  no those
   5386 0.04%:  so I don't have nothing to
   5387 0.04%:  no it's got to end
   5388 0.04%:  so that one gets one
   5389 0.04%:  no this one I haven
   5390 0.15%:  no this one I haven't done
   5391 0.04%:  so that one I've got
   5392 0.04%:  so that one I've got to
   5393 0.04%:  that's the seed
   5394 0.04%:  I need to ask the
   5395 0.04%:  I need to go eat it
   5396 0.04%:  so I've not gotten
   5397 0.11%:  so I've not gotten to
   5398 0.04%:  no I don't have the one
   5399 0.04%:  no that's not the end. one
   5400 0.04%:  so that one I kind
   5401 0.04%:  that's it. I need to go h
   5402 0.04%:  no thanks to this I
   5403 0.06%:  no thanks to this I've got
   5404 0.04%:  no that's so
   5405 0.04%:  that's the end it goes
   5406 0.04%:  that one too ends the
   5407 0.04%:  no it's not an end
   5408 0.04%:  that's gen
   5409 0.04%:  I've got to hit
   5410 0.04%:  so that's nothin
   5411 0.04%:  I have to go onto
   5412 0.04%:  no I have to get this done.
   5413 0.04%:  thanks I need to go so
   5414 0.04%:  so I think the end
   5415 0.04%:  that's the end. I set
   5416 0.04%:  this has gotten to
   5417 0.04%:  that one's even good
   5418 0.04%:  so I don't have tonight
   5419 0.04%:  no I haven't got this done
   5420 0.04%:  so I've got to end the
   5421 0.04%:  so I need to tone this
   5422 0.04%:  that's one done. I
   5423 0.04%:  no thanks it's gotten
   5424 0.04%:  that's the one non
   5425 0.04%:  so I hadn't gotten the
   5426 0.04%:  no that one goes in
   5427 0.04%:  no it's not done so
   5428 0.04%:  so I have the one
   5429 0.04%:  no that one's not the end
   5430 0.06%:  no that one's not the end.
   5431 0.04%:  that one I think needs to
   5432 0.04%:  no thanks no need
   5433 0.04%:  so not a
   5434 0.04%:  so I haven't done too
   5435 0.04%:  it's got to end
   5436 0.07%:  it's got to end soon
   5437 0.07%:  it's got to end soon.
   5438 0.04%:  so I haven't gotten this done on
   5439 0.04%:  that one's got notes
   5440 0.04%:  no one's asked
   5441 0.04%:  I've gotten it
   5442 0.04%:  I hate to do
   5443 0.04%: . I don't think those
   5444 0.04%:  no it's not the end at
   5445 0.04%:  that I've got the
   5446 0.04%:  so I think that one's good to
   5447 0.04%:  thanks. It's the
   5448 0.07%:  thanks. It's the end
   5449 0.04%:  no this one goes to
   5450 0.04%:  and tonight
   5451 0.04%:  no this one needs to go
   5452 0.04%:  no that one I don't even
   5453 0.04%:  it had
   5454 0.04%:  so that one's intent
   5455 0.04%:  so I've got notes to take
   5456 0.04%:  thanksies
   5457 0.04%:  so I need it to go
   5458 0.04%:  it's not at
   5459 0.04%:  so I've got those
   5460 0.04%:  so that's not th
   5461 0.04%:  I've eaten
   5462 0.04%:  I have to do it
   5463 0.04%:  so I've gotta edit the
   5464 0.04%:  I've had it
   5465 0.04%:  that's it d
   5466 0.04%:  no it's not the end on
   5467 0.04%:  no that one isn't done. It
   5468 0.04%:  I see
   5469 0.04%:  no that's not even good.
   5470 0.07%:  no that's not even good. I
   5471 0.04%:  so one thing I have
   5472 0.04%:  that's not the end one
   5473 0.04%:  so that is the end I
   5474 0.04%:  ok that's it I need
   5475 0.04%:  no this one I need to go
   5476 0.04%:  so it's not a the
   5477 0.04%:  it's gonna end
   5478 0.04%:  this one's not that good on
   5479 0.04%:  that's not the end. In one
   5480 0.04%:  so I need to invent that
   5481 0.04%:  this one gets a
   5482 0.04%:  so this one I need to go
   5483 0.04%:  that's not the kinds
   5484 0.04%:  and it gets 
   5485 0.04%:  no I don't get this
   5486 0.06%:  no I don't get this at
   5487 0.04%:  no I don't get this one
   5488 0.04%:  no this one I have
   5489 0.07%:  no this one I have not
   5490 0.04%:  I need to sign
   5491 0.04%:  so the endings haven
   5492 0.04%:  no that is not the end. I'
   5493 0.08%:  no that is not the end. I've
   5494 0.04%:  tonight
   5495 0.04%:  no I think that doesn
   5496 0.04%:  no this one doesn't go. It
   5497 0.04%: th
   5498 0.09%: thank
   5499 0.08%: thats
   5500 0.06%: thath
   5501 0.06%: thathitst
   5502 0.04%:  that one's not ending so
   5503 0.04%:  don't give
   5504 0.04%:  so I don't have the te
   5505 0.04%:  so I need to state
   5506 0.04%:  hot shit
   5507 0.04%:  so I think thats
   5508 0.04%:  no that's it go
   5509 0.04%:  no that's it go to
   5510 0.04%:  that one ties the
   5511 0.04%:  so that's one thing done.
   5512 0.04%:  get
   5513 0.04%:  his
   5514 0.04%:  this one I have
   5515 0.04%:  so that's not even good on
   5516 0.04%:  so that's not done then
   5517 0.04%:  that's then
   5518 0.04%: . I need to get a
   5519 0.04%: . I've got to think
   5520 0.04%:  so it's got to have the
   5521 0.04%:  I kind
   5522 0.04%:  that one got into
   5523 0.04%:  ok that one is done
   5524 0.04%:  that's one on the good
   5525 0.04%:  that one's not done to
   5526 0.04%:  so I haven't gotten one in
   5527 0.04%:  so that one isn't the end
   5528 0.04%:  so that one isn't the end.
   5529 0.04%: . It's gotten to
   5530 0.04%:  I've got to do one
   5531 0.04%:  I have to go soon.
   5532 0.04%:  that's this one I need
   5533 0.04%:  no that one's not set
   5534 0.04%:  I need to get it to
   5535 0.04%: . I need to take it to
   5536 0.04%: . I got that done
   5537 0.04%:  no that's good to
   5538 0.04%:  that's good so it
   5539 0.04%:  no I have to get this to
   5540 0.04%:  no it's not the end to
   5541 0.04%:  it's got to end at
   5542 0.04%:  this one's gotten too
   5543 0.04%:  so that one's not in.
   5544 0.04%:  no I don't have the notes to
   5545 0.04%:  that one is not so good. I
   5546 0.04%:  so this took 
   5547 0.04%:  this one's too good I
   5548 0.04%:  no that one got too
   5549 0.04%:  so that one I don't see
   5550 0.04%:  so I think that doesn't go
   5551 0.04%:  so I need to ask the
   5552 0.04%:  that one doesn't think
   5553 0.04%:  this doesn't take
   5554 0.04%: 's good
   5555 0.04%:  no that is the end. It
   5556 0.04%:  that doesn't go so
   5557 0.04%:  so I've got to hit
   5558 0.04%:  I need to go into that
   5559 0.04%:  no that one is no
   5560 0.04%:  I need to get on to this soon
   5561 0.04%:  that's good. Is it too
   5562 0.04%:  so I took that ending
   5563 0.04%:  that's nothing. I
   5564 0.04%:  this one's got to have
   5565 0.04%:  that isn't good.
   5566 0.04%:  so I need to go soon
   5567 0.04%:  so that one gets into
   5568 0.04%:  so I've got these and
   5569 0.04%:  thanks honest
   5570 0.04%:  that one ends. I
   5571 0.04%: . In
   5572 0.04%:  that's good notes
   5573 0.04%:  so on the one hand I've got no
   5574 0.04%:  that one is too good I'
   5575 0.04%:  that one's not in the end
   5576 0.04%:  I have it
   5577 0.07%:  I have it on
   5578 0.04%:  so I've got that done then
   5579 0.04%:  thanks I need to go in the
   5580 0.04%:  so that's not the end i
   5581 0.04%:  so that one's not hot
   5582 0.04%:  that one ends tonight.
   5583 0.04%:  that one's not the end.
   5584 0.04%:  no I don't think thats
   5585 0.04%:  so it's not that one. I don
   5586 0.04%:  so I have to do things
   5587 0.04%:  so I need to tie
   5588 0.04%:  that one ends this one.
   5589 0.04%:  no that one's not on this
   5590 0.04%:  that one's not so hot I
   5591 0.04%:  that one goes onto
   5592 0.04%:  so it's not done then.
   5593 0.04%:  so then I had
   5594 0.04%:  so I got that done in one
   5595 0.04%:  hands
   5596 0.04%:  so I set
   5597 0.07%:  so I set the
   5598 0.04%:  no that's the end. It goes
   5599 0.04%:  I gotta do the
   5600 0.04%:  so I don't even get
   5601 0.04%:  no that's not the song
   5602 0.04%: . I've done this one
   5603 0.04%:  so I need to have this on
   5604 0.04%:  that this one done
   5605 0.04%:  that's not I
   5606 0.04%:  that it's the end.
   5607 0.04%:  that one's done give
   5608 0.04%:  I get
   5609 0.06%:  I get that
   5610 0.10%:  I get that one
   5611 0.09%:  I get that it
   5612 0.08%:  I get that this
   5613 0.17%:  I get that this doesn
   5614 0.04%:  I get that the
   5615 0.04%:  I get that one is
   5616 0.04%:  no this one's a d
   5617 0.04%:  so I've gotta note
   5618 0.04%:  that ends this one. I
   5619 0.04%:  that's seventh
   5620 0.04%:  so it's not the end to
   5621 0.04%:  I need to go in a
   5622 0.04%:  I've taken it
   5623 0.04%: . I need to go in
   5624 0.05%: . I need to go in the
   5625 0.04%: . I need to go in a
   5626 0.04%:  that one doesn't shoot
   5627 0.04%:  I got that one done so
   5628 0.04%:  so then I'd have to go
   5629 0.04%:  no one needs that
   5630 0.04%:  I have to go on to
   5631 0.04%:  no that one goes into the '
   5632 0.04%:  I've done the
   5633 0.04%:  that one's nothin
   5634 0.04%:  so I don't have things
   5635 0.04%:  this one I've had
   5636 0.04%:  that's not shot
   5637 0.04%:  that one's in the too
   5638 0.04%:  I need to get this on t
   5639 0.04%:  so that's not the 
   5640 0.04%:  that one's not on the sign
   5641 0.04%:  no that's not honest I
   5642 0.04%:  no that's not honest I don
   5643 0.04%:  so that's it good
   5644 0.04%:  I need to save this to
   5645 0.04%:  I don't think those
   5646 0.04%:  that's one kind
   5647 0.04%:  so that's not the one in
   5648 0.04%: . I said the
   5649 0.04%:  so I don't have one set
